#List of genes with at least 1 signal of positive selection across the 6792 samples.
#
##geneHGNCsymbol
##ALL_Leu,ALL_Mem,ALL_NewS,AST_NewS,AST_SJ,BCell_Lymp,BLCA_TCGA,BRCA_BC,BRCA_Broad,BRCA_JH,BRCA_Sanger,BRCA_TCGA,BRCA_WU,CLL_Broad,CLL_HC,COADREAD_TCGA,CO_JH,ESO_DFCI,GAST_Pfizer,GBM_JH,GBM_TCGA,HNSC_Broad,HNSC_TCGA,KIRC_TCGA,LAML_TCGA,LGG_TCGA,LIV_FR,LIV_ICGC,LUAD_TCGA,LUNG_TSP,LUSC_TCGA,MED_NewS,Myeloma_NewS,NBM_Broad,NSCLC_Wisc,OV_TCGA,PAAD_JH,PAAD_OICR,PAAD_QCMG,POOLED,PRAD_TCGA,PedBrain,SCLC_Cologne,SCLC_JH,SKCM_Broad,SKCM_TCGA,STAD_TCGA,THCA_TCGA,UCEC_TCGA = = projects where gene exhibits signals of positive selection. R: Gene exhibiting significant recurrence of mutations (detected by MutSigCV) in the corresponding tumor type; F: Gene exhibiting significant FMbias (detected by OncodriveFM) in the corresponding tumor type; C: Gene exhibiting significant clustering (detected by OncodriveCLUST) in the corresponding tumor type.
##Pooled: Results of the analysis of all TCGA datasets together
##VariousSignals_geneCounts: Number of datasets where the driver gene exhibits at least two signals of positive selection
##OneSingleSignal_geneCounts: Number of datasets where the driver gene exhibits at least one signal of positive selection
##Recur_counts: Number of datasets where the driver gene exhibits significant mutational recurrence
##FM_counts: Number of datasets where the driver gene exhibits significant FMbias
##CLUST_counts: Number of datasets where the driver gene exhibits significant CLUSTbias
##CGC: The driver gene is in the CGC
##HCD_seed: The driver gene is either a two-signal gene or a one-signal-CGC gene
##driver gene_connected: The driver gene is connected through protein-protein or functional interactions to an HCD_seed driver gene.
##Where_detected: Indicates whether the driver gene was detected as such either in a single project, in the pooled TCGA cohort, or in both.
###
geneHGNCsymbol	ALL_Leu	ALL_Mem	ALL_NewS	AST_NewS	AST_SJ	BCell_Lymp	BLCA_TCGA	BRCA_BC	BRCA_Broad	BRCA_JH	BRCA_Sanger	BRCA_TCGA	BRCA_WU	CLL_Broad	CLL_HC	COADREAD_TCGA	CO_JH	ESO_DFCI	GAST_Pfizer	GBM_JH	GBM_TCGA	HNSC_Broad	HNSC_TCGA	KIRC_TCGA	LAML_TCGA	LGG_TCGA	LIV_FR	LIV_ICGC	LUAD_TCGA	LUNG_TSP	LUSC_TCGA	MED_NewS	Myeloma_NewS	NBM_Broad	NSCLC_Wisc	OV_TCGA	PAAD_JH	PAAD_OICR	PAAD_QCMG	PRAD_TCGA	PedBrain	SCLC_Cologne	SCLC_JH	SKCM_Broad	SKCM_TCGA	STAD_TCGA	THCA_TCGA	UCEC_TCGA	Pooled	VariousSignals_geneCounts	OneSingleSignal_geneCounts	Recur_counts	FM_counts	CLUST_counts	CGC	HCD_seed	CD_connected	Where_Detected
PRRX1																																																	F	0	1	0	1	0	CGC	HCD_seed		only_POOLED_detected
PSIP1																							F																											0	1	0	1	0	CGC	HCD_seed		only_perPROJECT_detected
SFPQ																																																	F	0	1	0	1	0	CGC	HCD_seed		only_POOLED_detected
SMARCB1																																								F										0	1	0	1	0	CGC	HCD_seed		only_perPROJECT_detected
SRGAP3																																																	F	0	1	0	1	0	CGC	HCD_seed		only_POOLED_detected
SUZ12																																																	F	0	1	0	1	0	CGC	HCD_seed		only_POOLED_detected
SYK																																												F						0	1	0	1	0	CGC	HCD_seed		only_perPROJECT_detected
THRAP3																																																	F	0	1	0	1	0	CGC	HCD_seed		only_POOLED_detected
TSC1							F																																											0	1	0	1	0	CGC	HCD_seed		only_perPROJECT_detected
USP6																																												F						0	1	0	1	0	CGC	HCD_seed		only_perPROJECT_detected
WHSC1																							F																											0	1	0	1	0	CGC	HCD_seed		only_perPROJECT_detected
ANK3												F			F																													F	F			F	F	0	6	0	6	0			CD_connected	
DDX3X														F																		F									F			F	F				F	0	6	0	6	0			CD_connected	
ACVR1B												F				F													F										F										F	0	5	0	5	0			CD_connected	
AHNAK							F																																	F					F				F	0	4	0	4	0			CD_connected	
ARHGAP35							F																F																									F	F	0	4	0	4	0			CD_connected	
BAZ2B																													F																F			F	F	0	4	0	4	0			CD_connected	
PRPF8																															F									F								F	F	0	4	0	4	0			CD_connected	
SVEP1																													F															F	F				F	0	4	0	4	0			CD_connected	
ARHGEF6																																													F			F	F	0	3	0	3	0			CD_connected	
ASPM																		F																											F				F	0	3	0	3	0			CD_connected	
BCLAF1																																												F	F				F	0	3	0	3	0			CD_connected	
CAD												F																																		F			F	0	3	0	3	0			CD_connected	
CCAR1												F																								F													F	0	3	0	3	0			CD_connected	
CUL3																							F						F																				F	0	3	0	3	0			CD_connected	
ERBB3							C																																					F				F		0	3	0	2	1			CD_connected	only_perPROJECT_detected
FN1																													F		F																		F	0	3	0	3	0			CD_connected	
HDAC9																																												F	F				F	0	3	0	3	0			CD_connected	
HLA-A																							C																							F			F	0	3	0	2	1			CD_connected	
HLA-B																							F																							F			F	0	3	0	3	0			CD_connected	
MAX																										C																						F	F	0	3	0	2	1			CD_connected	
PCDH18							F																																						F				F	0	3	0	3	0			CD_connected	
SPTAN1										F													F																										F	0	3	0	3	0			CD_connected	
TCF4																																F												F					F	0	3	0	3	0			CD_connected	
TP53BP1																								F																F									F	0	3	0	3	0			CD_connected	
ACTB						F																																											F	0	2	0	2	0			CD_connected	
ACTG2																															F																		F	0	2	0	2	0			CD_connected	
AQR																																													F				F	0	2	0	2	0			CD_connected	
ARID1B																										F																							F	0	2	0	2	0			CD_connected	
ATR																																																F	F	0	2	0	2	0			CD_connected	
BPTF																																													F				F	0	2	0	2	0			CD_connected	
BRWD1																																												F					F	0	2	0	2	0			CD_connected	
CHD3																																																F	F	0	2	0	2	0			CD_connected	
CHD9																																													F				F	0	2	0	2	0			CD_connected	
CNOT3																																								C									F	0	2	0	1	1			CD_connected	
COPS2																																													F				F	0	2	0	2	0			CD_connected	
CUL1																							F																										F	0	2	0	2	0			CD_connected	
EEF1B2																																								C									C	0	2	0	0	2			CD_connected	
EIF2AK3																																													F				F	0	2	0	2	0			CD_connected	
EIF4G1																																													F				F	0	2	0	2	0			CD_connected	
ERBB2IP																															F																		F	0	2	0	2	0			CD_connected	
GPS2												R																																					F	0	2	1	1	0			CD_connected	
IRF2															F																															F				0	2	0	2	0			CD_connected	only_perPROJECT_detected
KALRN																							F																										F	0	2	0	2	0			CD_connected	
MACF1																							F																										F	0	2	0	2	0			CD_connected	
MAP3K4																																													F				F	0	2	0	2	0			CD_connected	
MSR1																																													F				F	0	2	0	2	0			CD_connected	
MYH10																																																F	F	0	2	0	2	0			CD_connected	
NEDD4L																																																F	F	0	2	0	2	0			CD_connected	
NTN4																													F																				F	0	2	0	2	0			CD_connected	
PLCB1															F																														F					0	2	0	2	0			CD_connected	only_perPROJECT_detected
PTPRU																																														F			F	0	2	0	2	0			CD_connected	
RAD21																									F																								R	0	2	1	1	0			CD_connected	
RBBP7																																														F			F	0	2	0	2	0			CD_connected	
RGS3																															F													C						0	2	0	1	1			CD_connected	only_perPROJECT_detected
SEC24D																																													F				F	0	2	0	2	0			CD_connected	
SMC1A																																																F	F	0	2	0	2	0			CD_connected	
STAG1																																													F				F	0	2	0	2	0			CD_connected	
TAOK1																																													F				F	0	2	0	2	0			CD_connected	
TAOK2																							F																										F	0	2	0	2	0			CD_connected	
TFDP1																																																F	F	0	2	0	2	0			CD_connected	
TJP2																																												F					F	0	2	0	2	0			CD_connected	
TRIO							F																																										F	0	2	0	2	0			CD_connected	
ZFHX3																																								F								F		0	2	0	2	0			CD_connected	only_perPROJECT_detected
ACACA																																																F		0	1	0	1	0			CD_connected	only_perPROJECT_detected
ACAD8																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
ACO1																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
ADAM10																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
ADCY1																																								F										0	1	0	1	0			CD_connected	only_perPROJECT_detected
AHCTF1																																													F					0	1	0	1	0			CD_connected	only_perPROJECT_detected
AHR																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
APAF1																							F																											0	1	0	1	0			CD_connected	only_perPROJECT_detected
ARAP3																																																F		0	1	0	1	0			CD_connected	only_perPROJECT_detected
ARFGAP1																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
ARFGAP3																																								F										0	1	0	1	0			CD_connected	only_perPROJECT_detected
ARFGEF1																			F																															0	1	0	1	0			CD_connected	only_perPROJECT_detected
ARFGEF2																																																	R	0	1	1	0	0			CD_connected	only_POOLED_detected
ARHGAP29																																												F						0	1	0	1	0			CD_connected	only_perPROJECT_detected
ARHGEF2																																													F					0	1	0	1	0			CD_connected	only_perPROJECT_detected
ARID4A																			F																															0	1	0	1	0			CD_connected	only_perPROJECT_detected
ARID4B												F																																						0	1	0	1	0			CD_connected	only_perPROJECT_detected
ARNTL																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
ASH1L																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
ATP6AP2																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
AXIN1																																																F		0	1	0	1	0			CD_connected	only_perPROJECT_detected
AXIN2																F																																		0	1	0	1	0			CD_connected	only_perPROJECT_detected
BMPR2																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
BNC2																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
CAPN7																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
CARM1																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
CASP1																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
CAST																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
CAT																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
CCT5																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
CDC27																																								F										0	1	0	1	0			CD_connected	only_perPROJECT_detected
CEP290																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
CHD1L																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
CHD6																																													F					0	1	0	1	0			CD_connected	only_perPROJECT_detected
CHD8																					F																													0	1	0	1	0			CD_connected	only_perPROJECT_detected
CLASP2																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
CLOCK																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
CLSPN																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
CNOT1																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
CNTNAP1																																								C										0	1	0	0	1			CD_connected	only_perPROJECT_detected
CRNKL1																													F																					0	1	0	1	0			CD_connected	only_perPROJECT_detected
CSDA																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
CSDE1																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
CSNK1G3																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
CTNND1																																																F		0	1	0	1	0			CD_connected	only_perPROJECT_detected
CTTN																															F																			0	1	0	1	0			CD_connected	only_perPROJECT_detected
CUL2																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
CUX1																																																F		0	1	0	1	0			CD_connected	only_perPROJECT_detected
CYTH4																																												F						0	1	0	1	0			CD_connected	only_perPROJECT_detected
DEPDC1B																																																F		0	1	0	1	0			CD_connected	only_perPROJECT_detected
DHX15																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
DHX35																																																F		0	1	0	1	0			CD_connected	only_perPROJECT_detected
DHX9																															F																			0	1	0	1	0			CD_connected	only_perPROJECT_detected
DIS3																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
DLG1																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
EFTUD2																													F																					0	1	0	1	0			CD_connected	only_perPROJECT_detected
EIF2C3																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
EIF4G3																																													F					0	1	0	1	0			CD_connected	only_perPROJECT_detected
ELF1																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
EPHA1																																														F				0	1	0	1	0			CD_connected	only_perPROJECT_detected
EPHA4																													F																					0	1	0	1	0			CD_connected	only_perPROJECT_detected
EPHB2																													F																					0	1	0	1	0			CD_connected	only_perPROJECT_detected
F8																																				F														0	1	0	1	0			CD_connected	only_perPROJECT_detected
FAF1																																													F					0	1	0	1	0			CD_connected	only_perPROJECT_detected
FANCI																																												C						0	1	0	0	1			CD_connected	only_perPROJECT_detected
FAT2																							F																											0	1	0	1	0			CD_connected	only_perPROJECT_detected
FKBP5							F																																											0	1	0	1	0			CD_connected	only_perPROJECT_detected
FMR1																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
FOXA2																																																F		0	1	0	1	0			CD_connected	only_perPROJECT_detected
FXR1																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
G3BP1																													F																					0	1	0	1	0			CD_connected	only_perPROJECT_detected
G3BP2																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
GNAI1																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
GNG2																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
GPSM2																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
HCFC1												F																																						0	1	0	1	0			CD_connected	only_perPROJECT_detected
HDAC3																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
HGF																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
HNRPDL																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
HSPA8																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
ING1																																																F		0	1	0	1	0			CD_connected	only_perPROJECT_detected
INPP4A																																																F		0	1	0	1	0			CD_connected	only_perPROJECT_detected
INPPL1																																																F		0	1	0	1	0			CD_connected	only_perPROJECT_detected
IREB2																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
IRF6																						F																												0	1	0	1	0			CD_connected	only_perPROJECT_detected
IRF7																																													F					0	1	0	1	0			CD_connected	only_perPROJECT_detected
IRS2																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
ITGA9																																													F					0	1	0	1	0			CD_connected	only_perPROJECT_detected
ITSN1																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
JMY																																												C						0	1	0	0	1			CD_connected	only_perPROJECT_detected
KLF4																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
LAMA2																							F																											0	1	0	1	0			CD_connected	only_perPROJECT_detected
LDHA																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
LIMA1							F																																											0	1	0	1	0			CD_connected	only_perPROJECT_detected
LNPEP																																												F						0	1	0	1	0			CD_connected	only_perPROJECT_detected
LRP6																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
LRPPRC																																													F					0	1	0	1	0			CD_connected	only_perPROJECT_detected
MAGI2																																												F						0	1	0	1	0			CD_connected	only_perPROJECT_detected
MAP3K11																																												C						0	1	0	0	1			CD_connected	only_perPROJECT_detected
MAP4K1																														C																				0	1	0	0	1			CD_connected	only_perPROJECT_detected
MAP4K3																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
MAT2A																																												F						0	1	0	1	0			CD_connected	only_perPROJECT_detected
MCM3																																													F					0	1	0	1	0			CD_connected	only_perPROJECT_detected
MCM8																																													F					0	1	0	1	0			CD_connected	only_perPROJECT_detected
MED17																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
MED23												F																																						0	1	0	1	0			CD_connected	only_perPROJECT_detected
MED24																																																	R	0	1	1	0	0			CD_connected	only_POOLED_detected
MEF2C																							F																											0	1	0	1	0			CD_connected	only_perPROJECT_detected
MFNG																																													F					0	1	0	1	0			CD_connected	only_perPROJECT_detected
MGMT																							C																											0	1	0	0	1			CD_connected	only_perPROJECT_detected
MLH3																																																F		0	1	0	1	0			CD_connected	only_perPROJECT_detected
MMP2																													F																					0	1	0	1	0			CD_connected	only_perPROJECT_detected
MNDA																																										F								0	1	0	1	0			CD_connected	only_perPROJECT_detected
MUC20																																																	R	0	1	1	0	0			CD_connected	only_POOLED_detected
MYH14												F																																						0	1	0	1	0			CD_connected	only_perPROJECT_detected
NAP1L1																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
NCF2																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
NCK1																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
NCKAP1																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
NCOR2							F																																											0	1	0	1	0			CD_connected	only_perPROJECT_detected
NFATC4																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
NKX3-1																																								F										0	1	0	1	0			CD_connected	only_perPROJECT_detected
NR2F2																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
NR4A2																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
NTRK2																													F																					0	1	0	1	0			CD_connected	only_perPROJECT_detected
NUP107																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
NUP93																																																F		0	1	0	1	0			CD_connected	only_perPROJECT_detected
PABPC3																							F																											0	1	0	1	0			CD_connected	only_perPROJECT_detected
PCBP1																F																																		0	1	0	1	0			CD_connected	only_perPROJECT_detected
PCSK5																																														F				0	1	0	1	0			CD_connected	only_perPROJECT_detected
PCSK6																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
PGR																																																F		0	1	0	1	0			CD_connected	only_perPROJECT_detected
PIK3C2B																																												C						0	1	0	0	1			CD_connected	only_perPROJECT_detected
PIK3CB																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
PIK3R3																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
PIP5K1A																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
PLCG1																																																F		0	1	0	1	0			CD_connected	only_perPROJECT_detected
PLXNA1																																								C										0	1	0	0	1			CD_connected	only_perPROJECT_detected
PLXNB2																																																F		0	1	0	1	0			CD_connected	only_perPROJECT_detected
POLR2B																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
POM121																																													F					0	1	0	1	0			CD_connected	only_perPROJECT_detected
PPM1D																																															F			0	1	0	1	0			CD_connected	only_perPROJECT_detected
PPP2R5A																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
PPP2R5C																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
PRKCZ									C																																									0	1	0	0	1			CD_connected	only_perPROJECT_detected
PSMA6																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
PSMD11																													F																					0	1	0	1	0			CD_connected	only_perPROJECT_detected
PSME3																								C																										0	1	0	0	1			CD_connected	only_perPROJECT_detected
PTGS1																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
PTPRF																																														F				0	1	0	1	0			CD_connected	only_perPROJECT_detected
RAD23B																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
RASA2																																													F					0	1	0	1	0			CD_connected	only_perPROJECT_detected
RASGRP1																							F																											0	1	0	1	0			CD_connected	only_perPROJECT_detected
RBM5																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
RFC4												R																																						0	1	1	0	0			CD_connected	only_perPROJECT_detected
RHEB																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
RHOT1																																												F						0	1	0	1	0			CD_connected	only_perPROJECT_detected
ROBO2																																																F		0	1	0	1	0			CD_connected	only_perPROJECT_detected
RPGR												R																																						0	1	1	0	0			CD_connected	only_perPROJECT_detected
RTN4																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
SEC31A																																																F		0	1	0	1	0			CD_connected	only_perPROJECT_detected
SETDB1																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
SF3A3																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
SH2B3		F																																																0	1	0	1	0			CD_connected	only_perPROJECT_detected
SHMT1																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
SIN3A																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
SMARCA1																																								F										0	1	0	1	0			CD_connected	only_perPROJECT_detected
SMURF2																																												F						0	1	0	1	0			CD_connected	only_perPROJECT_detected
SOS1																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
SOS2																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
SOX17																																																F		0	1	0	1	0			CD_connected	only_perPROJECT_detected
SPRR3																													R																					0	1	1	0	0			CD_connected	only_perPROJECT_detected
SRGAP1												F																																						0	1	0	1	0			CD_connected	only_perPROJECT_detected
STARD13																																														F				0	1	0	1	0			CD_connected	only_perPROJECT_detected
STIP1																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
STK4																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
SYNCRIP																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
TAF1																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
TFDP2																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
TJP1																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
TNPO1																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
TNPO2																																														F				0	1	0	1	0			CD_connected	only_perPROJECT_detected
TOM1																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
TRERF1																																													F					0	1	0	1	0			CD_connected	only_perPROJECT_detected
TRIP10																							F																											0	1	0	1	0			CD_connected	only_perPROJECT_detected
UPF3B																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
VIM																																												C						0	1	0	0	1			CD_connected	only_perPROJECT_detected
WASF3																																												C						0	1	0	0	1			CD_connected	only_perPROJECT_detected
WIPF1																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
WNK1																																												F						0	1	0	1	0			CD_connected	only_perPROJECT_detected
WNT5A																																								F										0	1	0	1	0			CD_connected	only_perPROJECT_detected
XRN1																																													F					0	1	0	1	0			CD_connected	only_perPROJECT_detected
YBX1																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
ZC3H11A																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
ZFP36L2																																																	F	0	1	0	1	0			CD_connected	only_POOLED_detected
ZNF292																										F																								0	1	0	1	0			CD_connected	only_perPROJECT_detected
ZNF638																																												F						0	1	0	1	0			CD_connected	only_perPROJECT_detected
IL32																							R			F																			F		F		F	0	5	1	4	0				
CHD2														F	F																																F		F	0	4	0	4	0				
DST																					C								F																			F	F	0	4	0	3	1				
HMCN1																		F											F																F				F	0	4	0	4	0				
SYNE1																						F																					F		F				F	0	4	0	4	0				
ZNF844																					C					C														C									C	0	4	0	0	4				
ANK2																																				F								F					F	0	3	0	3	0				
ANKHD1																															F														F				F	0	3	0	3	0				
ASCC3																F																														F			F	0	3	0	3	0				
CD163																													F																F				F	0	3	0	3	0				
CPXM2																							F																						F				F	0	3	0	3	0				
DDX11																							C			C																							C	0	3	0	0	3				
FAT4																																											F		F				F	0	3	0	3	0				
IARS2																													F															F	C					0	3	0	2	1				
KIAA1109																																													F			F	F	0	3	0	3	0				
KIF13A																								F																						F			F	0	3	0	3	0				
LARP1																								F																F									F	0	3	0	3	0				
LIMCH1																																												F				F	F	0	3	0	3	0				
MBD1																													F																			F	F	0	3	0	3	0				
MYCBP2																							F																					F					F	0	3	0	3	0				
NBPF10																					C																			C									C	0	3	0	0	3				
PCLO																																												F	F				F	0	3	0	3	0				
POLR3B																													F															F					F	0	3	0	3	0				
PTPRD																																											F	F					F	0	3	0	3	0				
RAB3IP																																												F	F				F	0	3	0	3	0				
ZNF845																										C																					C		C	0	3	0	0	3				
ADAMTS12																													F		F																			0	2	0	2	0				
AGBL5																																													F				F	0	2	0	2	0				
AJUBA																							F																										F	0	2	0	2	0				
ALDH1L2																																													F				F	0	2	0	2	0				
AMBRA1																																													F				F	0	2	0	2	0				
ARHGAP21																																													F				F	0	2	0	2	0				
ATAD2																																													F				F	0	2	0	2	0				
ATF7IP																																																F	F	0	2	0	2	0				
ATP11B																															F																		F	0	2	0	2	0				
BRD7																																													F				F	0	2	0	2	0				
C10orf88																															F																		F	0	2	0	2	0				
C12orf57												R																																					R	0	2	2	0	0				
C15orf23																																													C				C	0	2	0	0	2				
C3																															F																		F	0	2	0	2	0				
CCDC88A																							F																										F	0	2	0	2	0				
CEP170												F																																					F	0	2	0	2	0				
CFH																																													F				F	0	2	0	2	0				
CWF19L2																																													F				F	0	2	0	2	0				
DCP1B																										C																							C	0	2	0	0	2				
DIP2A																							F																										F	0	2	0	2	0				
DIS3L2																													F																				F	0	2	0	2	0				
DNAH14												C																																				F		0	2	0	1	1				
DPYD																																												F	F					0	2	0	2	0				
DYRK1A																												F																					F	0	2	0	2	0				
ELL2																																														F			F	0	2	0	2	0				
FTSJD1																													F																				F	0	2	0	2	0				
GBE1																																													F				F	0	2	0	2	0				
GCC2																																													F				F	0	2	0	2	0				
GIGYF2																																												F					F	0	2	0	2	0				
GNPTAB												F																																					F	0	2	0	2	0				
HEATR5A																																												C					F	0	2	0	1	1				
HERC1							F																																										F	0	2	0	2	0				
HERC2																		F																						F										0	2	0	2	0				
JMJD1C																								F																									F	0	2	0	2	0				
KANSL1L																			F				F																											0	2	0	2	0				
KIAA1429																							C																										F	0	2	0	1	1				
KIF21A							F																																				F							0	2	0	2	0				
LMAN1																			F																														F	0	2	0	2	0				
LRBA																																													F				F	0	2	0	2	0				
LZTR1																					F																												F	0	2	0	2	0				
METTL7B																																													F				F	0	2	0	2	0				
MORC4																																																F	F	0	2	0	2	0				
NBEAL1																																													F				F	0	2	0	2	0				
NPNT																																													F				F	0	2	0	2	0				
PABPC4																							F																										F	0	2	0	2	0				
PRUNE2																													F															F						0	2	0	2	0				
RALGAPA1																								F																									F	0	2	0	2	0				
RGPD4																																													F				F	0	2	0	2	0				
SAMD9L															F																									F										0	2	0	2	0				
SHANK2													F																F																					0	2	0	2	0				
SMC4							F																																										F	0	2	0	2	0				
STXBP1																																																F	F	0	2	0	2	0				
TCFL5												R																																					R	0	2	2	0	0				
TTK																			F																														F	0	2	0	2	0				
TUSC3																													F																				F	0	2	0	2	0				
ZFX																																													F				F	0	2	0	2	0				
ZNF429																																													F				F	0	2	0	2	0				
ZNF608																							F																										F	0	2	0	2	0				
ZNF799																																								C							C			0	2	0	0	2				
AARS																																																	F	0	1	0	1	0				
AASS																																												F						0	1	0	1	0				
ABCC4																																												F						0	1	0	1	0				
ABI3BP																																																	F	0	1	0	1	0				
ACADM																																																	F	0	1	0	1	0				
ACBD4																																												C						0	1	0	0	1				
ACTR6																																																	F	0	1	0	1	0				
ADAM23																													F																					0	1	0	1	0				
ADAMTSL1																																								F										0	1	0	1	0				
ADSL																																																	F	0	1	0	1	0				
AGL																																												F						0	1	0	1	0				
AHCYL2																																																	F	0	1	0	1	0				
AKD1																																																	F	0	1	0	1	0				
AKR1B10																													F																					0	1	0	1	0				
AKR1C3									C																																									0	1	0	0	1				
ALDH1B1																																												C						0	1	0	0	1				
ALDH5A1																																													F					0	1	0	1	0				
AMOT																																												F						0	1	0	1	0				
ANAPC5																																																	F	0	1	0	1	0				
ANGEL1																																												C						0	1	0	0	1				
ANKHD1-EIF4EBP3																																																	F	0	1	0	1	0				
ANKRD12												F																																						0	1	0	1	0				
ANKRD6																																																	F	0	1	0	1	0				
ANLN																																																	F	0	1	0	1	0				
ANO10																																												C						0	1	0	0	1				
AP3S1																																																	F	0	1	0	1	0				
APPL2																																																	R	0	1	1	0	0				
ARFGAP2																																																	F	0	1	0	1	0				
ARHGAP33																													F																					0	1	0	1	0				
ARMC8																																																	F	0	1	0	1	0				
ARRDC3																																																	F	0	1	0	1	0				
ASUN																																													F					0	1	0	1	0				
ASXL2							F																																											0	1	0	1	0				
ATG4A																																																	F	0	1	0	1	0				
ATL2																																																	F	0	1	0	1	0				
