#List of genes with at least 1 signal of positive selection across the 6792 samples.
#
##geneHGNCsymbol
##ALL_Leu,ALL_Mem,ALL_NewS,AST_NewS,AST_SJ,BCell_Lymp,BLCA_TCGA,BRCA_BC,BRCA_Broad,BRCA_JH,BRCA_Sanger,BRCA_TCGA,BRCA_WU,CLL_Broad,CLL_HC,COADREAD_TCGA,CO_JH,ESO_DFCI,GAST_Pfizer,GBM_JH,GBM_TCGA,HNSC_Broad,HNSC_TCGA,KIRC_TCGA,LAML_TCGA,LGG_TCGA,LIV_FR,LIV_ICGC,LUAD_TCGA,LUNG_TSP,LUSC_TCGA,MED_NewS,Myeloma_NewS,NBM_Broad,NSCLC_Wisc,OV_TCGA,PAAD_JH,PAAD_OICR,PAAD_QCMG,POOLED,PRAD_TCGA,PedBrain,SCLC_Cologne,SCLC_JH,SKCM_Broad,SKCM_TCGA,STAD_TCGA,THCA_TCGA,UCEC_TCGA = = projects where gene exhibits signals of positive selection. R: Gene exhibiting significant recurrence of mutations (detected by MutSigCV) in the corresponding tumor type; F: Gene exhibiting significant FMbias (detected by OncodriveFM) in the corresponding tumor type; C: Gene exhibiting significant clustering (detected by OncodriveCLUST) in the corresponding tumor type.
##Pooled: Results of the analysis of all TCGA datasets together
##VariousSignals_geneCounts: Number of datasets where the driver gene exhibits at least two signals of positive selection
##OneSingleSignal_geneCounts: Number of datasets where the driver gene exhibits at least one signal of positive selection
##Recur_counts: Number of datasets where the driver gene exhibits significant mutational recurrence
##FM_counts: Number of datasets where the driver gene exhibits significant FMbias
##CLUST_counts: Number of datasets where the driver gene exhibits significant CLUSTbias
##CGC: The driver gene is in the CGC
##HCD_seed: The driver gene is either a two-signal gene or a one-signal-CGC gene
##driver gene_connected: The driver gene is connected through protein-protein or functional interactions to an HCD_seed driver gene.
##Where_detected: Indicates whether the driver gene was detected as such either in a single project, in the pooled TCGA cohort, or in both.
###
geneHGNCsymbol	ALL_Leu	ALL_Mem	ALL_NewS	AST_NewS	AST_SJ	BCell_Lymp	BLCA_TCGA	BRCA_BC	BRCA_Broad	BRCA_JH	BRCA_Sanger	BRCA_TCGA	BRCA_WU	CLL_Broad	CLL_HC	COADREAD_TCGA	CO_JH	ESO_DFCI	GAST_Pfizer	GBM_JH	GBM_TCGA	HNSC_Broad	HNSC_TCGA	KIRC_TCGA	LAML_TCGA	LGG_TCGA	LIV_FR	LIV_ICGC	LUAD_TCGA	LUNG_TSP	LUSC_TCGA	MED_NewS	Myeloma_NewS	NBM_Broad	NSCLC_Wisc	OV_TCGA	PAAD_JH	PAAD_OICR	PAAD_QCMG	PRAD_TCGA	PedBrain	SCLC_Cologne	SCLC_JH	SKCM_Broad	SKCM_TCGA	STAD_TCGA	THCA_TCGA	UCEC_TCGA	Pooled	VariousSignals_geneCounts	OneSingleSignal_geneCounts	Recur_counts	FM_counts	CLUST_counts	CGC	HCD_seed	CD_connected	Where_Detected
FAT1							F															F	RF						F																				RF	2	3	2	5	0		HCD_seed		
STAG2							RF					F									F				F																								RF	2	3	2	5	0		HCD_seed		
APC																RFC	F																													F			RF	2	2	2	4	1	CGC	HCD_seed		
ATRX																					F					RF								F															RF	2	2	2	4	0	CGC	HCD_seed		
CDH1											F	RF	F																																				RF	2	2	2	4	0	CGC	HCD_seed		
GATA3									F		F	RF																																					RF	2	2	2	4	0	CGC	HCD_seed		
RPL22																			F																											F		RF	RF	2	2	2	4	0	CGC	HCD_seed		
RPSAP58																					C		FC																								C		FC	2	2	0	2	4		HCD_seed		
DNMT3A																									RFC				F																				RFC	2	1	2	3	2	CGC	HCD_seed		
FUBP1																							F			RF																							RF	2	1	2	3	0	CGC	HCD_seed		
STK11																													RF	F																			RF	2	1	2	3	0	CGC	HCD_seed		
U2AF1																									RFC				F																				FC	2	1	1	3	2	CGC	HCD_seed		
CDKN1B												RF																												F									RF	2	1	2	3	0		HCD_seed		
MAP2K1																																												C	FC				FC	2	1	0	2	3		HCD_seed		
SMAD2																RF																														F			RF	2	1	2	3	0		HCD_seed		
BAP1																								RF																									RF	2	0	2	2	0	CGC	HCD_seed		
CEBPA																									RF																								RF	2	0	2	2	0	CGC	HCD_seed		
CIC																										RFC																							RF	2	0	2	2	1	CGC	HCD_seed		
KDM5C																								RF																									RF	2	0	2	2	0	CGC	HCD_seed		
MAP2K4												RF																																					RF	2	0	2	2	0	CGC	HCD_seed		
NPM1																									RF																								RF	2	0	2	2	0	CGC	HCD_seed		
PBRM1																								RF																									RF	2	0	2	2	0	CGC	HCD_seed		
VHL																								RF																									RF	2	0	2	2	0	CGC	HCD_seed		
WT1																									RF																								RF	2	0	2	2	0	CGC	HCD_seed		
CDKN1A							RF																																										RF	2	0	2	2	0		HCD_seed		
EIF1AX																																															RC		RF	2	0	2	1	1		HCD_seed		
SMARCA4						F												F					F			F			RF			F					F				F					F			F	1	9	1	10	0	CGC	HCD_seed		
ATM												F		F		F								F																F								F	RF	1	6	1	7	0	CGC	HCD_seed		
ARID2																		F					F																					F	F				RF	1	4	1	5	0	CGC	HCD_seed		
NOTCH1														F									RF			F					F																		F	1	4	1	5	0	CGC	HCD_seed		
CHD4													F			F																				F												F	RF	1	4	1	5	0		HCD_seed		
NCOR1												RF			F								C																						F				F	1	4	1	4	1		HCD_seed		
PTPN11																					F				RF									F															F	1	3	1	4	0	CGC	HCD_seed		
MGA							F																						RF																			F	F	1	3	1	4	0		HCD_seed		
RASA1																							R								F															F			RF	1	3	2	3	0		HCD_seed		
TGFBR2																							FC														F		F										F	1	3	0	4	1		HCD_seed		
ZNF814																					RC			C																C									C	1	3	1	0	4		HCD_seed		
CBFB									F			RF																																					F	1	2	1	3	0	CGC	HCD_seed		
CREBBP						FC																										F																	F	1	2	0	3	1	CGC	HCD_seed		
FAM123B																RF																																F	F	1	2	1	3	0	CGC	HCD_seed		
MYB												RF																			F																		F	1	2	1	3	0	CGC	HCD_seed		
NSD1																						F	RF																										F	1	2	1	3	0	CGC	HCD_seed		
ACVR2A																			F																											F			RF	1	2	1	3	0		HCD_seed		
LPHN2								FC																					R																				F	1	2	1	2	1		HCD_seed		
RBM10																F													RF																				F	1	2	1	3	0		HCD_seed		
ALK																																		FC														F		1	1	0	2	1	CGC	HCD_seed		only_perPROJECT_detected
FGFR2																																																RFC	F	1	1	1	2	1	CGC	HCD_seed		
FLT3																									RFC																								R	1	1	2	1	1	CGC	HCD_seed		
GNAS																	FC																																F	1	1	0	2	1	CGC	HCD_seed		
MYD88														FC	F																																			1	1	0	2	1	CGC	HCD_seed		only_perPROJECT_detected
PHF6																									F																								RF	1	1	1	2	0	CGC	HCD_seed		
PPP2R1A																																																RFC	F	1	1	1	2	1	CGC	HCD_seed		
TCF7L2																RF																																	F	1	1	1	2	0	CGC	HCD_seed		
XPO1														FC	F																																			1	1	0	2	1	CGC	HCD_seed		only_perPROJECT_detected
ACTG1																																																F	RF	1	1	1	2	0		HCD_seed		
B2M																							R																										RF	1	1	2	1	0		HCD_seed		
CNOT4																															F																		RF	1	1	1	2	0		HCD_seed		
MTOR																								RF																									F	1	1	1	2	0		HCD_seed		
RHOA																																														F			RF	1	1	1	2	0		HCD_seed		
RPL5																					F																												RF	1	1	1	2	0		HCD_seed		
SOX9																RF																																	F	1	1	1	2	0		HCD_seed		
TBL1XR1												R																																					RF	1	1	2	1	0		HCD_seed		
TBX3												RF																																					F	1	1	1	2	0		HCD_seed		
CCND1																																																RF		1	0	1	1	0	CGC	HCD_seed		only_perPROJECT_detected
DDX5																																																	RF	1	0	1	1	0	CGC	HCD_seed		only_POOLED_detected
FGFR1				FC																																														1	0	0	1	1	CGC	HCD_seed		only_perPROJECT_detected
KIT																									RC																									1	0	1	0	1	CGC	HCD_seed		only_perPROJECT_detected
SMO																																FC																		1	0	0	1	1	CGC	HCD_seed		only_perPROJECT_detected
TET2																									RF																									1	0	1	1	0	CGC	HCD_seed		only_perPROJECT_detected
ARID5B																																																RF		1	0	1	1	0		HCD_seed		only_perPROJECT_detected
CLCC1																																													RC					1	0	1	0	1		HCD_seed		only_perPROJECT_detected
CSNK2A1																							RF																											1	0	1	1	0		HCD_seed		only_perPROJECT_detected
EEF1A1																																																	RF	1	0	1	1	0		HCD_seed		only_POOLED_detected
EPC1																																							FC											1	0	0	1	1		HCD_seed		only_perPROJECT_detected
EPHA2																							RF																											1	0	1	1	0		HCD_seed		only_perPROJECT_detected
FOXA1												RF																																						1	0	1	1	0		HCD_seed		only_perPROJECT_detected
FRG1																																								FC										1	0	0	1	1		HCD_seed		only_perPROJECT_detected
PABPC1																								RF																										1	0	1	1	0		HCD_seed		only_perPROJECT_detected
SCAI																																								FC										1	0	0	1	1		HCD_seed		only_perPROJECT_detected
TXNIP							RF																																											1	0	1	1	0		HCD_seed		only_perPROJECT_detected
ZFP36L1												RF																																						1	0	1	1	0		HCD_seed		only_perPROJECT_detected
ZNF750																							RF																											1	0	1	1	0		HCD_seed		only_perPROJECT_detected
EP300							F								F								F																									F	F	0	5	0	5	0	CGC	HCD_seed		
BCOR														F																											F					F			F	0	4	0	4	0	CGC	HCD_seed		
BRCA1												F																								F													F	0	3	0	3	0	CGC	HCD_seed		
MECOM							F																																						F				F	0	3	0	3	0	CGC	HCD_seed		
MED12														F																										C									F	0	3	0	2	1	CGC	HCD_seed		
MYH9													F										F																							F				0	3	0	3	0	CGC	HCD_seed		only_perPROJECT_detected
NOTCH2									F														F																	F										0	3	0	3	0	CGC	HCD_seed		only_perPROJECT_detected
AKAP9																					F																												F	0	2	0	2	0	CGC	HCD_seed		
BLM																																													F				F	0	2	0	2	0	CGC	HCD_seed		
BRCA2												F																								F														0	2	0	2	0	CGC	HCD_seed		only_perPROJECT_detected
CDK12																																				F													F	0	2	0	2	0	CGC	HCD_seed		
CHEK2																																								C									F	0	2	0	1	1	CGC	HCD_seed		
CLTC																								F																									F	0	2	0	2	0	CGC	HCD_seed		
COL1A1																																													F				F	0	2	0	2	0	CGC	HCD_seed		
CYLD																							F																										F	0	2	0	2	0	CGC	HCD_seed		
DICER1																																																F	F	0	2	0	2	0	CGC	HCD_seed		
ERCC2							F																																										F	0	2	0	2	0	CGC	HCD_seed		
EZH2																																													F				F	0	2	0	2	0	CGC	HCD_seed		
FGFR3							F																																										F	0	2	0	2	0	CGC	HCD_seed		
KDR																					F								R																					0	2	1	1	0	CGC	HCD_seed		only_perPROJECT_detected
MLL																							F																										F	0	2	0	2	0	CGC	HCD_seed		
NUP98																																													F				F	0	2	0	2	0	CGC	HCD_seed		
PAX5																							F																										F	0	2	0	2	0	CGC	HCD_seed		
PRKAR1A												R																				F																		0	2	1	1	0	CGC	HCD_seed		only_perPROJECT_detected
PTCH1																																F									F									0	2	0	2	0	CGC	HCD_seed		only_perPROJECT_detected
TCF12																										F																							F	0	2	0	2	0	CGC	HCD_seed		
WHSC1L1																								F																F										0	2	0	2	0	CGC	HCD_seed		only_perPROJECT_detected
ZMYM2																																																F	F	0	2	0	2	0	CGC	HCD_seed		
ABL2																															F																			0	1	0	1	0	CGC	HCD_seed		only_perPROJECT_detected
ACSL3																																												F						0	1	0	1	0	CGC	HCD_seed		only_perPROJECT_detected
ACSL6																																																	F	0	1	0	1	0	CGC	HCD_seed		only_POOLED_detected
AFF4																																																	F	0	1	0	1	0	CGC	HCD_seed		only_POOLED_detected
ARHGAP26																																																	F	0	1	0	1	0	CGC	HCD_seed		only_POOLED_detected
ASXL1																									F																									0	1	0	1	0	CGC	HCD_seed		only_perPROJECT_detected
ATF1																																																	F	0	1	0	1	0	CGC	HCD_seed		only_POOLED_detected
ATIC																																																	F	0	1	0	1	0	CGC	HCD_seed		only_POOLED_detected
BCL11A																							C																											0	1	0	0	1	CGC	HCD_seed		only_perPROJECT_detected
