Tissue	Switch	Symbol	Group	NumPatients
brca	uc003ytj.2-uc010mdt.2	KCNQ3	No driver	194
brca	uc001hpo.2-uc010pvj.1	LEFTY1	No driver	195
brca	uc004aqc.1-uc004aqd.2	C9orf47	No driver	149
brca	uc001vys.2-uc001vyr.2	SLC39A2	No driver	156
brca	uc003hzx.3-uc003hzw.3	LRIT3	No driver	134
brca	uc009zth.1-uc001tel.1	AMDHD1	No driver	130
brca	uc003dwv.1-uc003dwt.1	CD47	No driver	98
brca	uc001ycd.2-uc001ycb.1	ASB2	No driver	64
brca	uc003tlz.2-uc003tma.2	H2AFV	No driver	122
brca	uc002jqr.2-uc010wsx.1	EXOC7	No driver	76
brca	uc010mvf.2-uc004bjj.3	TNC	No driver	115
brca	uc001uip.2-uc001uio.2	STX2	No driver	115
brca	uc003hbg.1-uc003hbe.1	EXOC1	No driver	110
brca	uc001joi.2-uc010qiy.1	SLC25A16	No driver	84
brca	uc001ihz.2-uc001ihy.2	TUBAL3	No driver	101
brca	uc001jzp.2-uc001jzq.2	RPS24	No driver	106
brca	uc001nyx.2-uc001nyw.2	VEGFB	No driver	105
brca	uc010rre.1-uc001oss.2	ARAP1	No driver	55
brca	uc010mxy.2-uc004bur.3	COQ4	No driver	99
brca	uc001sev.2-uc001ses.2	HOXC6	No driver	94
brca	uc003qig.3-uc003qii.2	REPS1	No driver	72
brca	uc011arv.1-uc011aru.1	FAM116B	No driver	79
brca	uc010tdi.1-uc010tdj.1	ATP8A2	No driver	76
brca	uc003ycj.1-uc003yck.1	ZFAND1	No driver	78
brca	uc001jsm.2-uc001jsl.2	PSAP	No driver	76
brca	uc003apr.2-uc011amr.1	EIF3D	No driver	74
brca	uc002ruo.2-uc002rup.2	SIX2	No driver	70
brca	uc003utu.2-uc010lgq.2	GAL3ST4	No driver	66
brca	uc001kgz.2-uc001khb.2	HTR7	No driver	62
brca	uc003lem.2-uc003lek.2	SPATA24	No driver	63
brca	uc002gnz.3-uc002gnw.3	ELAC2	No driver	42
brca	uc003lkb.3-uc003lkd.1	PCDHGA8	No driver	54
brca	uc010ddd.2-uc002iwx.2	PPM1E	No driver	54
brca	uc003pvj.2-uc003pvh.2	FYN	No driver	53
brca	uc004cfh.1-uc004cfg.1	FCN2	No driver	58
brca	uc001xrq.2-uc010tvc.1	JDP2	No driver	30
brca	uc003cbm.2-uc003cbl.3	EFHB	No driver	54
brca	uc002amv.2-uc010uio.1	SNX1	No driver	55
brca	uc001hmc.2-uc001hmd.2	IARS2	No driver	51
brca	uc001xzg.2-uc001xzh.2	GPR68	No driver	50
brca	uc002suq.2-uc002sun.1	KCNIP3	No driver	38
brca	uc002jym.1-uc002jyk.2	FLJ35220	No driver	49
brca	uc002rhw.2-uc002rhx.2	MAPRE3	No driver	49
brca	uc001ocr.1-uc001ocs.1	C11orf2	No driver	49
brca	uc011edq.1-uc003qif.1	ECT2L	No driver	44
brca	uc003etv.2-uc011bnb.1	ACPL2	No driver	42
brca	uc001mpi.2-uc001mpj.2	ZDHHC13	No driver	46
brca	uc003sjs.2-uc003sju.2	C7orf50	No driver	41
brca	uc002gpy.2-uc002gpz.2	TRPV2	No driver	44
brca	uc003aos.2-uc003aot.2	APOL3	No driver	43
brca	uc003faq.2-uc011bom.1	GMPS	No driver	43
brca	uc002hdt.1-uc002hdu.1	MYO18A	No driver	37
brca	uc004cdf.1-uc004cde.1	RPL7A	No driver	43
brca	uc003lhk.1-uc003lhl.2	PCDHA5	No driver	38
brca	uc002bqg.2-uc002bqi.2	UNC45A	No driver	42
brca	uc003eog.1-uc003eof.2	NUDT16	No driver	40
brca	uc001iig.2-uc001iii.2	ASB13	No driver	42
brca	uc002fsr.2-uc010vql.1	INPP5K	No driver	41
brca	uc002lrz.2-uc002lsd.2	MUM1	No driver	37
brca	uc002gij.2-uc010cne.1	TP53	Interaction between drivers	40
brca	uc002hso.2-uc010wek.1	ERBB2	No driver	41
brca	uc001vwc.3-uc001vwb.3	P704P	No driver	40
brca	uc010vyb.1-uc002gtw.2	LGALS9C	No driver	37
brca	uc003iyy.2-uc011clc.1	KLKB1	No driver	31
brca	uc002zri.2-uc002zrj.2	DGCR8	No driver	26
brca	uc003eho.2-uc010hrx.2	ITGB5	No driver	39
brca	uc002azq.3-uc002azr.3	C15orf39	No driver	40
brca	uc001sot.2-uc010srt.1	PIP4K2C	No driver	33
brca	uc002zoq.1-uc011agr.1	DGCR2	No driver	39
brca	uc004bas.2-uc011lvf.1	TEX10	No driver	39
brca	uc003hwg.2-uc011ces.1	MANBA	No driver	38
brca	uc002ass.2-uc002ast.2	LARP6	No driver	39
brca	uc003ire.2-uc003irf.2	SC4MOL	No driver	39
brca	uc001igt.1-uc001igs.1	PITRM1	No driver	36
brca	uc003cxh.2-uc003cxi.2	RNF123	No driver	37
brca	uc002vot.2-uc002voz.2	MFF	No driver	25
brca	uc002zjx.2-uc011agc.1	PRMT2	No driver	19
brca	uc002ilt.1-uc010wkx.1	KPNB1	Interaction with driver	36
brca	uc003lgx.2-uc011czu.1	HARS2	No driver	35
brca	uc002xuw.2-uc010zyn.1	SPATA2	No driver	35
brca	uc001zod.2-uc001zoc.2	RPAP1	No driver	35
brca	uc001qnu.2-uc001qnt.2	TNFRSF1A	No driver	35
brca	uc003zjm.1-uc010mhs.1	ERMP1	No driver	35
brca	uc002huc.2-uc002hub.2	MSL1	No driver	34
brca	uc001cdp.2-uc010oiw.1	HEYL	No driver	32
brca	uc001ckx.2-uc001cky.2	IPO13	No driver	34
brca	uc003ldh.2-uc003ldl.2	CTNNA1	No driver	34
brca	uc001cuv.2-uc010ons.1	PODN	No driver	33
brca	uc001ryk.2-uc001ryj.1	GALNT6	No driver	28
brca	uc003eff.3-uc003efg.2	PARP9	No driver	32
brca	uc003ltj.2-uc011dcn.1	TNIP1	No driver	30
brca	uc010rye.1-uc001pti.2	TMEM25	No driver	26
brca	uc002apc.2-uc010uiw.1	PTPLAD1	No driver	32
brca	uc002pfs.2-uc002pfr.2	SLC1A5	No driver	32
brca	uc002rgz.2-uc010ykx.1	HADHB	No driver	27
brca	uc001qqv.1-uc010sfk.1	CD4	Interaction with driver	29
brca	uc002azb.1-uc002aza.1	SCAMP2	No driver	31
brca	uc003oxa.1-uc003oxc.1	HSP90AB1	Driver	32
brca	uc009xfh.1-uc001hub.2	C1orf198	No driver	32
brca	uc011lwb.1-uc004bde.2	RAD23B	No driver	32
brca	uc002ljo.2-uc010dqh.2	SERPINB2	No driver	24
brca	uc003ywc.1-uc010meq.1	SLC45A4	No driver	31
brca	uc002jgd.1-uc010deu.1	NOL11	No driver	29
brca	uc003soi.3-uc003soj.2	TNRC18	No driver	31
brca	uc001zxi.1-uc001zxj.1	GALK2	No driver	25
brca	uc004dah.2-uc011mjs.1	PHEX	No driver	25
brca	uc003fhc.3-uc003fhb.3	RPL22L1	No driver	31
brca	uc010him.2-uc003cnb.3	C3orf23	No driver	20
brca	uc003fwz.3-uc011bty.1	SENP5	No driver	31
brca	uc002mcj.2-uc002mcr.2	HSD11B1L	No driver	11
brca	uc002qoc.2-uc010etv.2	AURKC	No driver	15
brca	uc001jrm.2-uc009xqk.2	SGPL1	No driver	30
brca	uc003slx.2-uc003smb.2	EIF3B	No driver	22
brca	uc010cnm.1-uc002giu.1	DNAH2	No driver	26
brca	uc010wgb.1-uc002hyo.2	DNAJC7	No driver	30
brca	uc010buw.2-uc002dbp.1	RSL1D1	No driver	28
brca	uc001hks.2-uc009xdn.2	KCTD3	No driver	30
brca	uc001ewg.2-uc001ewc.2	FAM63A	No driver	21
brca	uc001qdh.2-uc010sbm.1	SRPR	No driver	30
brca	uc001bnm.2-uc001bnl.2	SLC9A1	No driver	30
brca	uc002fxx.2-uc002fxy.2	SPNS2	No driver	29
brca	uc001suc.2-uc010sti.1	RAP1B	No driver	25
brca	uc002xnu.2-uc010zws.1	SDC4	No driver	30
brca	uc004bor.1-uc004boq.1	NR6A1	No driver	10
brca	uc001hmy.1-uc001hmz.1	DUSP10	No driver	29
brca	uc003yht.1-uc003yhu.1	PTDSS1	No driver	29
brca	uc002bgt.1-uc002bgs.1	EFTUD1	No driver	28
brca	uc003bkv.3-uc003bkt.1	PLXNB2	No driver	29
brca	uc001kog.1-uc009xvw.1	PI4K2A	No driver	28
brca	uc001auc.2-uc001aub.2	DHRS3	No driver	29
brca	uc002ndi.2-uc002ndj.2	TPM4	No driver	28
brca	uc004bsj.3-uc011mam.1	ENG	No driver	29
brca	uc003mhc.1-uc003mhb.1	PDLIM7	No driver	19
brca	uc001ozx.3-uc001ozy.2	PCF11	No driver	29
brca	uc003gmc.2-uc003gmd.2	SLC2A9	No driver	29
brca	uc003sip.2-uc011jvn.1	FAM20C	No driver	28
brca	uc003onu.1-uc003onv.1	MDGA1	No driver	21
brca	uc003iuh.2-uc003iug.2	GPM6A	No driver	27
brca	uc003ela.3-uc003ele.2	ACAD9	No driver	28
brca	uc001xyi.1-uc010atp.1	C14orf102	No driver	25
brca	uc001ypy.1-uc001ypz.1	C14orf79	No driver	22
brca	uc001ceb.1-uc009vvu.1	OXCT2	No driver	15
brca	uc002fue.1-uc002fui.1	SRR	No driver	28
brca	uc003oth.2-uc010jyd.2	PPP2R5D	No driver	20
brca	uc002uhf.1-uc002uhd.1	DYNC1I2	No driver	22
brca	uc011blb.1-uc003emw.2	PLXND1	No driver	15
brca	uc003qdw.1-uc010kgd.1	C6orf192	No driver	28
brca	uc001onj.2-uc001onk.2	CHKA	No driver	27
brca	uc004epg.2-uc004epf.2	DCX	No driver	20
brca	uc002wqh.2-uc010gcp.2	C20orf72	No driver	19
brca	uc002upf.2-uc010zfs.1	NUP35	No driver	22
brca	uc003bao.1-uc003bas.1	XRCC6	No driver	23
brca	uc010zbr.1-uc002twl.1	ORC4L	No driver	16
brca	uc011kum.1-uc003wfl.2	ZNF398	No driver	25
brca	uc002pkr.2-uc002pkt.2	BCAT2	No driver	26
brca	uc001bzi.2-uc009vux.2	CLSPN	No driver	23
brca	uc002anv.2-uc010bgz.2	PLEKHO2	No driver	26
brca	uc001pld.2-uc001ple.2	C11orf92	No driver	27
brca	uc001ugy.2-uc001ugz.1	DHX37	No driver	25
brca	uc001hbs.2-uc001hbr.2	CNTN2	No driver	23
brca	uc010yqa.1-uc010ypz.1	SLC1A4	No driver	17
brca	uc002wbq.2-uc002wbr.2	BOK	No driver	26
brca	uc004cik.2-uc004cil.2	FAM69B	No driver	26
brca	uc001gnz.2-uc001goc.2	QSOX1	No driver	26
brca	uc001cyc.1-uc010ooi.1	DHCR24	No driver	26
brca	uc003auc.2-uc003aud.2	ANKRD54	No driver	23
brca	uc002kzk.1-uc002kzo.1	ELP2	No driver	26
brca	uc002act.2-uc010ugg.1	PIGB	No driver	26
brca	uc001cjx.2-uc010oki.1	KDM4A	No driver	26
brca	uc001lmg.1-uc010qvd.1	TUBGCP2	No driver	14
brca	uc003vge.2-uc003vgf.2	ZNF277	No driver	14
brca	uc003usr.2-uc010lgj.2	ZNF3	No driver	23
brca	uc002rom.2-uc002ron.2	TTC27	No driver	24
brca	uc002dgn.1-uc002dgp.1	C16orf62	No driver	25
brca	uc001ooc.2-uc001ooe.2	MTL5	No driver	25
brca	uc002spr.2-uc010fgk.2	MAT2A	No driver	24
brca	uc010rrw.1-uc001oxc.2	UVRAG	No driver	15
brca	uc002rgy.2-uc010yks.1	HADHA	No driver	25
brca	uc003mkw.3-uc011dgs.1	SQSTM1	Interaction with driver	24
brca	uc002bxj.2-uc002bxi.2	TM2D3	No driver	24
brca	uc001byx.2-uc001byw.2	KIAA0319L	No driver	25
brca	uc002mng.2-uc002mnf.2	DNMT1	No driver	24
brca	uc002oja.1-uc002ojb.1	ACTN4	No driver	25
brca	uc003vuc.2-uc003vub.2	TRIM24	No driver	25
brca	uc003act.2-uc003acq.2	TFIP11	No driver	24
brca	uc002nug.1-uc002nuh.1	GPATCH1	No driver	23
brca	uc002iga.2-uc010wiv.1	ATXN7L3	No driver	23
brca	uc003dfd.2-uc003dff.2	GNL3	No driver	24
brca	uc010sfh.1-uc001qqd.2	ZNF384	No driver	10
brca	uc002sdb.2-uc002sdc.2	AFTPH	No driver	23
brca	uc010oiz.1-uc001cel.2	TRIT1	No driver	16
brca	uc003kdp.2-uc010izp.2	HMGCR	No driver	24
brca	uc004bpv.2-uc004bqa.2	MAPKAP1	No driver	9
brca	uc001nog.2-uc010rky.1	STX3	No driver	17
brca	uc002jyh.1-uc010dhx.1	RNF213	No driver	24
brca	uc002ozu.2-uc002ozt.1	BCAM	No driver	24
brca	uc002ihn.2-uc010wje.1	EFTUD2	No driver	23
brca	uc003gbw.2-uc010ibn.2	DGKQ	No driver	21
brca	uc004ase.1-uc010mqy.1	ASPN	No driver	24
brca	uc001ckz.2-uc001cla.2	DPH2	No driver	12
brca	uc001mso.1-uc001msp.2	C11orf46	No driver	24
brca	uc004cvp.3-uc004cvu.3	OFD1	No driver	17
brca	uc001aky.2-uc010nzm.1	KIAA0562	No driver	21
brca	uc003odf.2-uc003odh.2	SLC39A7	No driver	20
brca	uc002bdd.2-uc002bdg.2	IDH3A	No driver	20
brca	uc002dde.2-uc010uzp.1	RRN3	No driver	23
brca	uc001grw.2-uc010por.1	C1orf27	No driver	23
brca	uc003wey.2-uc003wfa.2	CUL1	No driver	23
brca	uc003lla.1-uc011dbc.1	PCDHGC5	No driver	23
brca	uc001iib.2-uc010qar.1	NET1	No driver	19
brca	uc002ojr.1-uc010xuo.1	RINL	No driver	20
brca	uc003uva.2-uc011kjv.1	TSC22D4	No driver	7
brca	uc010bzy.2-uc002dyx.2	ZNF689	No driver	23
brca	uc001wis.3-uc001wir.3	ACIN1	No driver	22
brca	uc001ggv.2-uc010plx.1	KIFAP3	No driver	23
brca	uc002sxi.3-uc002sxk.3	FAM178B	No driver	15
brca	uc003geo.3-uc003gep.3	C4orf48	No driver	17
brca	uc002mfk.1-uc002mfj.1	TNFSF14	No driver	14
brca	uc002jkv.2-uc010dfs.2	CD300A	No driver	22
brca	uc003xtn.2-uc011led.1	SDCBP	No driver	11
brca	uc002rao.1-uc002ran.1	ODC1	No driver	23
brca	uc002zqa.1-uc002zqb.2	TBX1	No driver	22
brca	uc010qxy.1-uc001lyn.3	PGAP2	No driver	14
brca	uc011cmj.1-uc011cmg.1	C5orf38	No driver	19
brca	uc011dbp.1-uc003lnv.2	PLAC8L1	No driver	12
brca	uc001exi.2-uc010pcv.1	PIP5K1A	No driver	22
brca	uc010trq.1-uc001xdr.1	TOMM20L	No driver	15
brca	uc001ojd.2-uc001ojc.1	SPTBN2	No driver	22
brca	uc002zrq.2-uc010gsa.2	ZDHHC8	No driver	21
brca	uc002mnq.2-uc010xle.1	ICAM1	No driver	22
brca	uc009wwd.2-uc010pmn.1	C1orf9	No driver	22
brca	uc001opv.3-uc001opx.2	CTTN	No driver	14
brca	uc002uuh.1-uc010fsl.1	COQ10B	No driver	21
brca	uc003cdl.2-uc003cdk.2	NGLY1	No driver	11
brca	uc004fmp.1-uc011mzw.1	MPP1	No driver	13
brca	uc003oqu.1-uc003oqr.1	TFEB	No driver	14
brca	uc003keh.3-uc003keg.3	POC5	No driver	22
brca	uc003jhj.3-uc010iuj.2	C5orf22	No driver	22
brca	uc010ukw.1-uc002ave.3	ADPGK	No driver	21
brca	uc001lyw.3-uc010qyd.1	RRM1	No driver	22
brca	uc004dmb.3-uc004dmc.3	TFE3	No driver	21
brca	uc003voz.2-uc011kpa.1	NRF1	No driver	18
brca	uc002hra.2-uc010wdz.1	LASP1	Driver	22
brca	uc010idi.2-uc003gjw.3	TADA2B	No driver	22
brca	uc003ltl.1-uc003ltm.1	ANXA6	No driver	13
brca	uc009wht.1-uc001eiu.1	LOC647121	No driver	21
brca	uc003onn.2-uc003onp.2	TBC1D22B	No driver	21
brca	uc003nqj.1-uc003nqi.1	PRR3	No driver	22
brca	uc002drk.2-uc010vdd.1	SH2B1	No driver	14
brca	uc003jch.2-uc003jcg.2	CLPTM1L	No driver	22
brca	uc010ncj.1-uc011mfa.1	PNPLA7	No driver	20
brca	uc003vda.1-uc010ljj.1	RINT1	No driver	22
brca	uc002pxz.1-uc002pya.1	ZNF613	No driver	22
brca	uc001whg.2-uc001whj.2	RBM23	No driver	14
brca	uc003yia.2-uc010mbg.2	LAPTM4B	No driver	22
brca	uc002uow.1-uc010fro.1	DNAJC10	No driver	18
brca	uc004aym.2-uc004ayk.2	CORO2A	No driver	22
brca	uc002pkx.2-uc002pkw.1	PLEKHA4	No driver	21
brca	uc002man.1-uc002mam.1	UBXN6	No driver	21
brca	uc003kdc.3-uc011css.1	ENC1	No driver	20
brca	uc004cxi.2-uc004cxh.2	AP1S2	No driver	11
brca	uc003ouy.1-uc010jyo.1	ABCC10	No driver	19
brca	uc002pdb.2-uc002pdc.2	SIX5	No driver	20
brca	uc010eli.2-uc010xyt.1	ZNF541	No driver	18
brca	uc003wnv.1-uc011kwc.1	NCAPG2	No driver	21
brca	uc002njh.2-uc002njg.2	ELL	No driver	21
brca	uc002plb.3-uc002pld.2	NUCB1	No driver	15
brca	uc002zto.2-uc002ztp.2	LZTR1	No driver	18
brca	uc002zrv.2-uc002zru.2	RTN4R	No driver	20
brca	uc001hjz.2-uc010ptq.1	ANGEL2	No driver	16
brca	uc002rqx.2-uc002rqw.2	HNRPLL	No driver	17
brca	uc003vor.2-uc003vos.2	SMO	No driver	21
brca	uc004efu.3-uc004eft.3	DIAPH2	No driver	20
brca	uc002mgs.2-uc002mgt.1	PNPLA6	No driver	20
brca	uc001ggt.2-uc010plw.1	SCYL3	No driver	20
brca	uc010iaz.2-uc003fzw.3	ZNF718	No driver	18
brca	uc002ezc.2-uc002eza.2	COG4	No driver	20
brca	uc002evy.1-uc010vlg.1	PRMT7	No driver	20
brca	uc002auc.2-uc002aub.2	PARP6	No driver	21
brca	uc003nbj.2-uc011div.1	JARID2	No driver	20
brca	uc003wnk.2-uc011kvz.1	DNAJB6	No driver	16
brca	uc001xbi.1-uc010aol.1	GCH1	No driver	21
brca	uc001klb.3-uc001kla.3	TCTN3	No driver	18
brca	uc001fvx.2-uc010pjg.1	NCSTN	No driver	20
brca	uc003ddx.2-uc010hmh.2	BAP1	No driver	20
brca	uc001znl.2-uc010bcd.1	CHP	No driver	19
brca	uc003yhz.2-uc010mbf.2	MTDH	No driver	20
brca	uc003ncx.1-uc011dji.1	MBOAT1	No driver	20
brca	uc003cfc.1-uc010hfw.1	CNOT10	No driver	19
brca	uc002joc.2-uc010wsc.1	CASKIN2	No driver	20
brca	uc001etp.2-uc001etq.2	VPS45	No driver	20
brca	uc001yof.1-uc010awv.1	PPP1R13B	No driver	20
brca	uc003yll.2-uc011lhr.1	SLC25A32	No driver	20
brca	uc002qvn.1-uc010evy.1	FAM72D	No driver	20
brca	uc010ujs.1-uc010ujr.1	SMAD3	No driver	11
brca	uc003otq.2-uc010jyh.2	CUL7	No driver	17
brca	uc009xhe.2-uc001ifi.2	TUBB8	No driver	8
brca	uc002uql.1-uc002uqo.1	WDR75	No driver	20
brca	uc002rku.2-uc010ezb.2	IFT172	No driver	20
brca	uc001iga.2-uc001igb.2	IDI1	No driver	19
brca	uc009ycx.1-uc001ltt.1	LOC338651	No driver	20
brca	uc001llp.2-uc001llq.2	INPP5A	No driver	19
brca	uc003vlm.2-uc003vlo.2	POT1	No driver	20
brca	uc009vxq.2-uc010olm.1	TOE1	No driver	17
brca	uc011cdi.1-uc011cdl.1	HERC6	No driver	15
brca	uc001ibb.1-uc001iaz.1	HNRNPU	Interaction with driver	8
brca	uc003xqk.1-uc011ldi.1	MCM4	No driver	20
brca	uc003tyf.1-uc003tye.1	BCL7B	No driver	14
brca	uc002xfw.2-uc010zvr.1	NDRG3	No driver	17
brca	uc003amu.2-uc003amt.2	FBXO7	No driver	17
brca	uc003ffe.2-uc011bpg.1	GOLIM4	No driver	14
brca	uc010cju.2-uc002fst.3	PITPNA	No driver	10
brca	uc001iil.3-uc001iim.3	GDI2	No driver	20
brca	uc001ynf.1-uc010awr.1	CKB	No driver	11
brca	uc001yda.1-uc001ycz.3	SERPINA1	No driver	14
brca	uc001knt.2-uc001knq.2	MMS19	No driver	16
brca	uc002dkk.2-uc010vbt.1	POLR3E	No driver	15
brca	uc003szf.2-uc003szh.2	HIBADH	No driver	19
brca	uc001bvh.3-uc010ohi.1	BSDC1	No driver	19
brca	uc010cdu.2-uc002ept.2	CMTM2	No driver	13
brca	uc001tzg.2-uc010szn.1	HNF1A	No driver	16
brca	uc002hqe.2-uc002hqd.2	SRCIN1	No driver	15
brca	uc010hpo.2-uc003dvq.2	NFKBIZ	Interaction with driver	16
brca	uc001vnn.1-uc001vnm.1	STK24	No driver	18
brca	uc003vop.1-uc003voq.1	TSPAN33	No driver	19
brca	uc011dbl.1-uc011dbn.1	SH3RF2	No driver	14
brca	uc003iqm.1-uc011cjj.1	NPY1R	No driver	19
brca	uc009vyx.1-uc010onc.1	FAF1	No driver	19
brca	uc011edp.1-uc003qhx.2	NHSL1	No driver	19
brca	uc001wyu.2-uc010tqq.1	PYGL	No driver	9
brca	uc001wsy.1-uc001wtc.1	KIAA0391	No driver	19
brca	uc010fwg.2-uc010fwh.1	SPEG	No driver	19
brca	uc002tlk.2-uc010yye.1	INSIG2	No driver	14
brca	uc003bxf.3-uc011aut.1	RAF1	No driver	19
brca	uc002wcd.2-uc002wcc.1	ING5	Interaction with driver	19
brca	uc001nqq.2-uc001nqt.2	CD6	No driver	8
brca	uc002rii.3-uc002rik.3	EMILIN1	No driver	19
brca	uc002vqq.1-uc002vqr.1	SP100	No driver	9
brca	uc001jve.2-uc010qkr.1	KIAA0913	No driver	6
brca	uc001tkb.1-uc010swg.1	HSP90B1	No driver	18
brca	uc002lnl.2-uc010xfm.1	PQLC1	No driver	18
brca	uc003aeq.1-uc003aer.1	RHBDD3	No driver	18
brca	uc003cvj.2-uc011bby.1	WDR6	No driver	18
brca	uc003fzv.1-uc010iay.1	ZNF595	No driver	14
brca	uc003yug.2-uc003yue.1	NDRG1	No driver	17
brca	uc011arh.1-uc003biu.3	BRD1	No driver	18
brca	uc001neb.2-uc001neg.2	DDB2	No driver	17
brca	uc001txm.1-uc010szg.1	RAB35	No driver	17
brca	uc003nqn.1-uc010jsc.1	PPP1R10	No driver	18
brca	uc010ehn.2-uc002oqf.3	HNRNPUL1	No driver	11
brca	uc002azc.1-uc010ulx.1	MPI	No driver	14
brca	uc010zvw.1-uc002xhj.2	CTNNBL1	No driver	18
brca	uc002bjn.2-uc002bjo.2	BTBD1	No driver	17
brca	uc001irl.3-uc010qcu.1	PIP4K2A	No driver	17
brca	uc002rat.2-uc002ras.2	ATP6V1C2	No driver	18
brca	uc003jeb.2-uc003jec.2	FASTKD3	No driver	15
brca	uc003yar.2-uc003yaq.2	HNF4G	No driver	13
brca	uc002xqs.2-uc002xqu.2	PCIF1	No driver	18
brca	uc002flk.2-uc002fll.2	RNF166	No driver	18
brca	uc001nbp.2-uc010rgm.1	SLC35C1	No driver	18
brca	uc002jqk.1-uc002jqj.1	SRP68	No driver	18
brca	uc003mfd.1-uc003mfh.1	UIMC1	No driver	16
brca	uc003qnb.2-uc011eeg.1	PCMT1	No driver	7
brca	uc003cjp.2-uc003cjr.2	RPSA	No driver	18
brca	uc003stj.2-uc003stp.2	BZW2	No driver	17
brca	uc003guk.1-uc011byp.1	UGDH	No driver	14
brca	uc001uhc.2-uc009zyh.2	AACS	No driver	16
brca	uc003qoi.2-uc011eeq.1	RMND1	No driver	18
brca	uc001zls.3-uc001zlr.2	IVD	No driver	18
brca	uc002qpz.3-uc010yhf.1	ZNF671	No driver	17
brca	uc001ndt.2-uc010rhc.1	ARFGAP2	No driver	15
brca	uc003orp.2-uc003oro.2	CCND3	Interaction between drivers	13
brca	uc003fnn.1-uc011brj.1	PSMD2	No driver	18
brca	uc010pch.1-uc001euz.2	MCL1	No driver	18
brca	uc002xyw.2-uc002xyy.1	PPP4R1L	No driver	17
brca	uc003oku.3-uc010jvx.2	TEAD3	No driver	18
brca	uc001fgw.1-uc001fgt.1	ADAM15	No driver	13
brca	uc010qnj.1-uc009xtx.2	RPP30	No driver	18
brca	uc002fdh.1-uc002fdf.1	WDR59	No driver	14
brca	uc003fcl.1-uc011box.1	MFSD1	No driver	7
brca	uc001ucv.2-uc010taf.1	KNTC1	No driver	17
brca	uc001pmc.3-uc009yyi.2	FDXACB1	No driver	17
brca	uc002fhk.2-uc010vnv.1	HSDL1	No driver	16
brca	uc001xuf.2-uc010asu.2	SNW1	No driver	17
brca	uc003tus.2-uc003tuu.2	CRCP	No driver	17
brca	uc002dec.1-uc002ded.1	C16orf63	No driver	17
brca	uc002llm.1-uc010dqs.2	CNDP2	No driver	17
brca	uc001tmp.2-uc010sww.1	PRDM4	No driver	16
brca	uc001ipj.1-uc009xjw.1	STAM	Interaction with driver	17
brca	uc010yvs.1-uc002tal.3	LONRF2	No driver	17
brca	uc002peq.3-uc002per.3	PNMAL1	No driver	17
brca	uc001xww.2-uc001xxa.2	ZC3H14	No driver	13
brca	uc003lqd.1-uc003lqf.2	ABLIM3	No driver	15
brca	uc001lhp.2-uc001lhr.2	OAT	No driver	17
brca	uc002wls.2-uc010zqu.1	CDS2	No driver	13
brca	uc002nkf.2-uc002nkh.2	UPF1	No driver	17
brca	uc001odu.3-uc009yqj.2	FRMD8	No driver	16
brca	uc010uqa.1-uc002bon.2	MESP2	No driver	16
brca	uc001odm.2-uc010roe.1	DPF2	No driver	17
brca	uc001bax.2-uc009vpg.2	KLHDC7A	No driver	17
brca	uc003yee.2-uc003yef.2	RIPK2	No driver	16
brca	uc001slc.2-uc001slb.2	STAT2	No driver	17
brca	uc004dkh.1-uc004dki.1	WDR13	No driver	13
brca	uc001bmz.2-uc001bmy.2	PIGV	No driver	17
brca	uc002ynb.2-uc010glm.2	CCT8	No driver	7
brca	uc001dkt.2-uc009wcl.2	WDR63	No driver	10
brca	uc002pcn.2-uc002pcp.2	EML2	No driver	17
brca	uc002hez.1-uc010wbn.1	BLMH	No driver	17
brca	uc001fep.3-uc001feq.2	UBAP2L	No driver	10
brca	uc003qok.1-uc011ees.1	C6orf211	No driver	17
brca	uc010ytn.1-uc002srv.2	CD8A	No driver	15
brca	uc001kyp.1-uc001kyq.1	XPNPEP1	No driver	15
brca	uc001wjo.2-uc010tnm.1	EFS	No driver	17
brca	uc002yck.1-uc002ycl.1	OSBPL2	No driver	16
brca	uc001ilo.2-uc001iln.2	CAMK1D	No driver	17
brca	uc003xgo.3-uc011lat.1	ELP3	No driver	15
brca	uc001xjv.3-uc001xjx.3	RDH11	No driver	10
brca	uc010jbv.2-uc003kpg.2	CAMK4	No driver	8
brca	uc010dib.1-uc002jzx.2	C17orf89	No driver	16
brca	uc002iix.2-uc010dak.2	ARHGAP27	No driver	15
brca	uc002jvm.2-uc002jvn.2	PGS1	No driver	7
brca	uc002egk.2-uc010vgp.1	SNX20	No driver	16
brca	uc010dli.2-uc010dlj.2	C18orf19	No driver	14
brca	uc001wgm.2-uc010tnb.1	ABHD4	No driver	15
brca	uc002oid.2-uc002oic.2	KCNK6	No driver	16
brca	uc001ewh.1-uc001ewj.1	PRUNE	No driver	15
brca	uc003cyc.2-uc011bdi.1	RBM6	No driver	15
brca	uc009xfw.2-uc001hwf.2	IRF2BP2	No driver	8
brca	uc003gro.2-uc003grp.2	ANAPC4	No driver	10
brca	uc002juf.2-uc002jud.2	TNRC6C	No driver	16
brca	uc001mvk.2-uc010ren.1	NAT10	No driver	16
brca	uc003pgz.3-uc003pha.3	MTO1	No driver	7
brca	uc003nco.1-uc003ncp.1	KDM1B	No driver	11
brca	uc010boe.2-uc002bsl.3	FAM174B	No driver	16
