Normal_transcript	Tumor_transcript	Origin
uc001ect.1	uc009wgl.1	Tumor
uc001ecu.2	uc001ecv.2	Tumor
uc001ecv.2	uc001ecu.2	Tumor
uc001ecv.2	uc010owk.1	Tumor
uc001ecv.2	uc010owl.1	Tumor
uc001ecy.2	uc001ecx.2	Tumor
uc001edk.2	uc001edh.3	Tumor
uc001edk.2	uc001edj.2	Tumor
uc001edk.2	uc009wgo.2	Tumor
uc001edo.1	uc009wgp.1	Tumor
uc001eds.2	uc001edt.2	Tumor
uc001eds.2	uc009wgq.2	Tumor
uc001eds.2	uc009wgs.2	Tumor
uc001edw.2	uc001edx.2	Tumor
uc001edw.2	uc001edy.2	Tumor
uc001edw.2	uc001edz.1	Tumor
uc001edx.2	uc001edw.2	Tumor
uc001edy.2	uc001edw.2	Tumor
uc001edy.2	uc001edz.1	Tumor
uc001eeb.2	uc001eea.1	Tumor
uc001eeb.2	uc001eec.2	Tumor
uc001eeb.2	uc001eed.2	Tumor
uc001eeb.2	uc010owp.1	Tumor
uc001eeb.2	uc010owq.1	Tumor
uc001eed.2	uc010owp.1	Tumor
uc001eeg.2	uc001eeh.2	Tumor
uc001eeg.2	uc001eei.2	Tumor
uc001eei.2	uc001eeg.2	Tumor
uc001eeq.2	uc001een.2	Tumor
uc001eeu.2	uc001eev.2	Tumor
uc001eev.2	uc001eeu.2	Tumor
uc001eex.2	uc001eew.2	Tumor
uc001eex.2	uc001eey.1	Tumor
uc001eex.2	uc010owr.1	Tumor
uc001eez.2	uc001efd.1	Tumor
uc001efc.1	uc001eez.2	Tumor
uc001efc.1	uc001efd.1	Tumor
uc001efd.1	uc001eez.2	Tumor
uc001efd.1	uc001efc.1	Tumor
uc001efe.1	uc001eff.1	Tumor
uc001eff.1	uc001efe.1	Tumor
uc001efi.2	uc001efk.2	Tumor
uc001efk.2	uc009wgv.2	Tumor
uc001efl.2	uc001efm.2	Tumor
uc001efl.2	uc001efn.2	Tumor
uc001efo.3	uc001efp.3	Tumor
uc001efp.3	uc001efo.3	Tumor
uc001efv.1	uc001efw.1	Tumor
uc001efv.1	uc009wgy.1	Tumor
uc001efw.1	uc001efv.1	Tumor
uc001efx.3	uc010owu.1	Tumor
uc001efy.2	uc009wgz.2	Tumor
uc001egb.3	uc001ega.2	Tumor
uc001ege.2	uc001egh.2	Tumor
uc001egh.2	uc001ege.2	Tumor
uc001egj.3	uc001egk.3	Tumor
uc001egk.3	uc001egg.3	Tumor
uc001egk.3	uc001egi.3	Tumor
uc001egk.3	uc001egj.3	Tumor
uc001egk.3	uc009whb.2	Tumor
uc001egq.1	uc001egr.1	Tumor
uc001egr.1	uc001egq.1	Tumor
uc001egz.2	uc001eha.2	Tumor
uc001egz.2	uc009whe.2	Tumor
uc001ehb.2	uc001ehc.2	Tumor
uc001ehf.2	uc001ehg.2	Tumor
uc001ehg.2	uc001ehf.2	Tumor
uc001ehl.1	uc009whj.1	Tumor
uc001ehn.2	uc010oxf.1	Tumor
uc001ehn.2	uc010oxg.1	Tumor
uc001ehq.1	uc001ehr.1	Tumor
uc001ehr.1	uc001ehq.1	Tumor
uc001eht.2	uc001ehs.2	Tumor
uc001eht.2	uc001ehu.2	Tumor
uc001ehv.1	uc001ehw.2	Tumor
uc001ehw.2	uc001ehv.1	Tumor
uc001ehz.2	uc001eic.2	Tumor
uc001eid.2	uc001eie.2	Tumor
uc001eid.2	uc010oxj.1	Tumor
uc001eif.2	uc001eig.2	Tumor
uc001eig.2	uc001eif.2	Tumor
uc001eik.2	uc001eim.3	Tumor
uc001ein.3	uc009whp.2	Tumor
uc001eip.2	uc001eiq.2	Tumor
uc001eip.2	uc009whr.2	Tumor
uc001eiu.1	uc009wht.1	Tumor
uc001ejr.3	uc009whx.2	Tumor
uc001ejr.3	uc009why.2	Tumor
uc001eks.2	uc001ela.3	Tumor
uc001ekt.3	uc001ekr.3	Tumor
uc001ekt.3	uc009wld.2	Tumor
uc001ela.3	uc001eks.2	Tumor
uc001eli.3	uc010oxn.1	Tumor
uc001eln.3	uc001emb.1	Tumor
uc001eln.3	uc001eme.1	Tumor
uc001elp.2	uc010oyd.1	Tumor
uc001elp.2	uc010oyf.1	Tumor
uc001elv.3	uc001emg.1	Tumor
uc001elw.3	uc001emf.1	Tumor
uc001elx.3	uc001elk.1	Tumor
uc001elx.3	uc001elv.3	Tumor
uc001elx.3	uc001emg.1	Tumor
uc001elx.3	uc001emh.2	Tumor
uc001emb.1	uc001eln.3	Tumor
uc001emb.1	uc001elv.3	Tumor
uc001emb.1	uc001emg.1	Tumor
uc001emb.1	uc001emh.2	Tumor
uc001eme.1	uc001eln.3	Tumor
uc001emf.1	uc001elk.1	Tumor
uc001emf.1	uc001ell.1	Tumor
uc001emf.1	uc001eln.3	Tumor
uc001emf.1	uc001emg.1	Tumor
uc001emg.1	uc001eme.1	Tumor
uc001emn.3	uc001emm.3	Tumor
uc001emn.3	uc001emo.2	Tumor
uc001emn.3	uc010oyh.1	Tumor
uc001emp.3	uc010oyr.1	Tumor
uc001enc.2	uc010oym.1	Tumor
uc001enc.2	uc010oyr.1	Tumor
uc001end.3	uc010oyj.1	Tumor
uc001enn.3	uc001enm.1	Tumor
uc001ent.1	uc001enu.1	Tumor
uc001enw.1	uc001enu.1	Tumor
uc001eny.1	uc010oyu.1	Tumor
uc001enz.1	uc010oyv.1	Tumor
uc001eoa.2	uc009wiw.2	Tumor
uc001eob.1	uc010oyx.1	Tumor
uc001eoc.1	uc001eod.1	Tumor
uc001eoe.2	uc001eof.1	Tumor
uc001eoh.2	uc001eog.2	Tumor
uc001eoh.2	uc001eoi.2	Tumor
uc001eol.1	uc001eom.1	Tumor
uc001eol.1	uc010oyz.1	Tumor
uc001eon.1	uc010oza.1	Tumor
uc001eoo.1	uc001eon.1	Tumor
uc001eoo.1	uc010oza.1	Tumor
uc001eot.2	uc001eop.2	Tumor
uc001eot.2	uc001eoq.2	Tumor
uc001eot.2	uc001eor.2	Tumor
uc001eot.2	uc001eos.2	Tumor
uc001eou.3	uc009wjm.2	Tumor
uc001eov.1	uc010ozf.1	Tumor
uc001eox.2	uc010ozg.1	Tumor
uc001epa.2	uc010ozx.1	Tumor
uc001epe.2	uc010ozm.1	Tumor
uc001epe.2	uc010ozn.1	Stroma
uc001epi.2	uc001eph.3	Tumor
uc001epi.2	uc001epj.2	Tumor
uc001epj.2	uc001eph.3	Tumor
uc001epm.3	uc001epn.3	Tumor
uc001epm.3	uc001epo.3	Tumor
uc001epm.3	uc009wjg.2	Tumor
uc001epm.3	uc009wjh.2	Tumor
uc001epm.3	uc009wji.2	Stroma
uc001eps.1	uc001ept.1	Tumor
uc001ept.1	uc001eps.1	Tumor
uc001epv.3	uc010ozs.1	Tumor
uc001epw.3	uc010ozs.1	Tumor
uc001eqn.2	uc001eqo.1	Tumor
uc001eqo.1	uc001eql.2	Tumor
uc001eqo.1	uc001eqn.2	Tumor
uc001eqo.1	uc009wjx.1	Tumor
uc001eqo.1	uc009wjz.1	Tumor
uc001eqs.1	uc010pad.1	Tumor
uc001esg.3	uc010pbf.1	Tumor
uc001esl.3	uc001ekr.3	Tumor
uc001esr.2	uc010pbi.1	Tumor
uc001ess.2	uc001esu.1	Tumor
uc001est.1	uc001esu.1	Tumor
uc001etg.2	uc001eth.2	Tumor
uc001etg.2	uc009wlk.2	Stroma
uc001etj.1	uc001eti.1	Tumor
uc001etp.2	uc001etq.2	Immune
uc001ett.2	uc001etr.2	Stroma
uc001etw.2	uc010pbt.1	Immune
uc001etw.2	uc010pbu.1	Tumor
uc001etx.2	uc009wln.2	Tumor
uc001ety.1	uc001eub.1	Tumor
uc001ety.1	uc010pbx.1	Tumor
uc001etz.1	uc001ety.1	Tumor
uc001etz.1	uc010pbx.1	Tumor
uc001etz.1	uc010pby.1	Tumor
uc001euc.2	uc001eue.2	Tumor
uc001euc.2	uc001euf.2	Tumor
uc001euc.2	uc001eug.2	Tumor
uc001eud.2	uc001euf.2	Tumor
uc001eue.2	uc001euf.2	Tumor
uc001euf.2	uc001eud.2	Tumor
uc001eug.2	uc001eue.2	Tumor
uc001eug.2	uc001euf.2	Tumor
uc001eui.2	uc001euh.2	Tumor
uc001eui.2	uc001euj.2	Tumor
uc001euk.2	uc001eul.2	Tumor
uc001eul.2	uc001euk.2	Tumor
uc001eum.3	uc010pca.1	Tumor
uc001eum.3	uc010pcb.1	Tumor
uc001euq.2	uc001eur.2	Tumor
uc001euq.2	uc009wls.2	Tumor
uc001euq.2	uc009wlt.2	Stroma
uc001eur.2	uc001euq.2	Tumor
uc001eur.2	uc009wlt.2	Tumor
uc001eus.2	uc001eut.2	Tumor
uc001eus.2	uc001euv.2	Tumor
uc001eut.2	uc001eus.2	Tumor
uc001euw.2	uc009wlw.2	Tumor
uc001eux.2	uc001euw.2	Tumor
uc001eux.2	uc009wlv.1	Tumor
uc001eux.2	uc009wlx.2	Stroma
uc001euz.2	uc010pch.1	Tumor
uc001eve.2	uc001evc.2	Tumor
uc001eve.2	uc001evh.2	Tumor
uc001evh.2	uc001evc.2	Tumor
uc001evh.2	uc001evf.2	Tumor
uc001evj.2	uc010pci.1	Tumor
uc001evl.1	uc001evm.1	Tumor
uc001evm.1	uc001evl.1	Tumor
uc001evn.2	uc001evo.1	Immune
uc001evn.2	uc010pcj.1	Immune
uc001evo.1	uc001evn.2	Immune
uc001evo.1	uc010pcj.1	Immune
uc001evp.1	uc001evq.1	Tumor
uc001evq.1	uc001evp.1	Tumor
uc001evr.1	uc001evs.1	Stroma
uc001evr.1	uc009wmc.1	Tumor
uc001evr.1	uc010pck.1	Tumor
uc001evs.1	uc009wmb.1	Tumor
uc001evs.1	uc009wmd.1	Tumor
uc001evu.2	uc001evv.2	Tumor
uc001evu.2	uc001evw.3	Tumor
uc001evy.2	uc009wmh.2	Tumor
uc001evz.2	uc009wmh.2	Stroma
uc001ewd.2	uc001ewc.2	Tumor
uc001ewd.2	uc001ewe.2	Tumor
uc001ewd.2	uc010pcn.1	Tumor
uc001ewg.2	uc001ewc.2	Tumor
uc001ewg.2	uc001ewf.2	Tumor
uc001ewg.2	uc010pcn.1	Tumor
uc001ewh.1	uc001ewj.1	Tumor
uc001ewh.1	uc001ewk.1	Tumor
uc001ewh.1	uc010pco.1	Tumor
uc001ewi.1	uc001ewk.1	Tumor
uc001ewk.1	uc001ewj.1	Tumor
uc001ewl.2	uc009wmi.2	Tumor
uc001ewl.2	uc009wmj.2	Tumor
uc001ewp.2	uc001ewo.2	Tumor
uc001ewr.2	uc001ews.2	Tumor
uc001ewr.2	uc001ewt.2	Tumor
uc001ews.2	uc001ewt.2	Tumor
uc001ewt.2	uc001ewr.2	Tumor
uc001ewt.2	uc010pcp.1	Tumor
uc001ewu.2	uc001eww.2	Tumor
uc001ewu.2	uc009wml.1	Tumor
uc001ewu.2	uc010pcq.1	Tumor
uc001ewy.2	uc010pcr.1	Tumor
uc001exc.3	uc001exb.2	Tumor
uc001exc.3	uc001exd.2	Tumor
uc001exc.3	uc010pct.1	Tumor
uc001exd.2	uc001exb.2	Tumor
uc001exd.2	uc010pct.1	Tumor
uc001exi.2	uc010pcu.1	Tumor
uc001exi.2	uc010pcv.1	Immune
uc001exq.2	uc009wmo.2	Tumor
uc001exr.2	uc001exs.2	Tumor
uc001exr.2	uc001exu.2	Tumor
uc001exr.2	uc010pcw.1	Tumor
uc001exs.2	uc010pcw.1	Tumor
uc001exu.2	uc001exs.2	Tumor
uc001exu.2	uc010pcw.1	Tumor
uc001exv.1	uc001exw.1	Tumor
uc001exv.1	uc009wmr.1	Tumor
uc001exv.1	uc010pcx.1	Tumor
uc001exx.2	uc001eya.2	Tumor
uc001exx.2	uc010pcz.1	Tumor
uc001eyd.1	uc009wmv.1	Tumor
uc001eyd.1	uc010pdc.1	Tumor
uc001eyd.1	uc010pdd.1	Tumor
uc001eye.1	uc001eyf.1	Tumor
uc001eye.1	uc010pdc.1	Tumor
uc001eyl.2	uc001eym.2	Tumor
uc001eyl.2	uc010pdg.1	Tumor
uc001eym.2	uc001eyl.2	Tumor
uc001eym.2	uc010pdg.1	Tumor
uc001eyo.2	uc001eyn.1	Tumor
uc001eyy.2	uc001ezb.3	Tumor
uc001eyy.2	uc001ezc.3	Tumor
uc001eza.3	uc001ezc.3	Tumor
uc001ezb.3	uc001ezc.3	Tumor
uc001ezc.3	uc001eyy.2	Tumor
uc001ezh.2	uc001ezg.2	Immune
uc001ezh.2	uc010pdp.1	Tumor
uc001ezk.1	uc001ezj.1	Tumor
uc001ezp.2	uc009wne.1	Tumor
uc001faw.2	uc009wnu.1	Tumor
uc001fax.3	uc001fay.2	Tumor
uc001fay.2	uc001fax.3	Tumor
uc001fay.2	uc001faz.3	Tumor
uc001faz.3	uc001fay.2	Tumor
uc001fbb.2	uc009wnz.2	Tumor
uc001fbd.2	uc009woa.2	Tumor
uc001fbo.2	uc001fbp.2	Tumor
uc001fcc.2	uc001fcd.1	Tumor
uc001fcd.1	uc001fcc.2	Tumor
uc001fcf.3	uc001fcg.2	Tumor
uc001fcg.2	uc001fcf.3	Tumor
uc001fcg.2	uc001fch.2	Tumor
uc001fcg.2	uc001fci.2	Tumor
uc001fch.2	uc001fcf.3	Tumor
uc001fch.2	uc001fcg.2	Tumor
uc001fch.2	uc001fci.2	Tumor
uc001fck.1	uc001fcl.1	Tumor
uc001fcl.1	uc001fck.1	Tumor
uc001fcm.1	uc001fco.1	Tumor
uc001fcm.1	uc009woi.1	Tumor
uc001fcn.1	uc001fcm.1	Tumor
uc001fcn.1	uc001fcp.2	Tumor
uc001fco.1	uc001fcm.1	Tumor
uc001fcp.2	uc001fcm.1	Tumor
uc001fcr.2	uc009wok.2	Tumor
uc001fct.2	uc001fcv.2	Tumor
uc001fct.2	uc001fcw.2	Tumor
uc001fct.2	uc001fcx.2	Tumor
uc001fct.2	uc001fcy.2	Tumor
uc001fct.2	uc009wom.2	Tumor
uc001fct.2	uc010peb.1	Tumor
uc001fct.2	uc010pec.1	Immune&Stroma
uc001fcz.2	uc009won.2	Tumor
uc001fde.3	uc001fdf.3	Tumor
uc001fdk.2	uc010pee.1	Tumor
uc001fdn.3	uc001fdm.1	Tumor
uc001fdn.3	uc001fdp.1	Tumor
uc001fdn.3	uc001fdq.2	Tumor
uc001fdn.3	uc001fdr.2	Tumor
uc001fdn.3	uc010pef.1	Tumor
uc001fdo.3	uc001fdp.1	Tumor
uc001fdp.1	uc001fdr.2	Tumor
uc001fdq.2	uc001fdo.3	Tumor
uc001fdy.1	uc001fea.1	Tumor
uc001fea.1	uc001fdy.1	Tumor
uc001fea.1	uc009wor.2	Tumor
uc001fed.1	uc001fea.1	Tumor
uc001fed.1	uc009wor.2	Tumor
uc001fef.1	uc001feg.2	Tumor
uc001fef.1	uc001fei.2	Tumor
uc001feg.2	uc001fej.2	Tumor
uc001fei.2	uc001fef.1	Tumor
uc001fei.2	uc001feh.2	Tumor
uc001fen.1	uc001feq.2	Tumor
uc001fep.3	uc001feq.2	Tumor
uc001fep.3	uc001fer.2	Tumor
uc001fep.3	uc010pek.1	Tumor
uc001fep.3	uc010pen.1	Tumor
uc001fes.2	uc001fet.2	Tumor
uc001fes.2	uc009wou.2	Tumor
uc001fes.2	uc009wov.2	Tumor
uc001fet.2	uc009wov.2	Tumor
uc001fez.1	uc001ffa.1	Tumor
uc001ffa.1	uc001fez.1	Tumor
uc001ffb.2	uc001ffc.2	Tumor
uc001ffc.2	uc001ffb.2	Tumor
uc001ffe.2	uc001ffd.2	Tumor
uc001ffj.2	uc001ffk.2	Tumor
uc001ffk.2	uc001ffh.2	Tumor
uc001ffk.2	uc001ffj.2	Stroma
uc001ffo.2	uc001ffp.2	Tumor
uc001ffo.2	uc009wox.1	Tumor
uc001ffp.2	uc001ffo.2	Immune
uc001ffr.2	uc001ffs.2	Tumor
uc001ffr.2	uc010pep.1	Stroma
uc001ffv.2	uc001ffy.2	Tumor
uc001ffw.2	uc001ffx.2	Tumor
uc001ffw.2	uc001ffy.2	Tumor
uc001ffx.2	uc001ffu.2	Immune
uc001ffx.2	uc001ffw.2	Tumor
uc001ffy.2	uc001ffu.2	Tumor
uc001ffz.1	uc001ffy.2	Tumor
uc001fgj.3	uc001fgl.3	Tumor
uc001fgm.2	uc009wpb.2	Tumor
uc001fgr.1	uc001fgv.1	Tumor
uc001fgr.1	uc001fgx.1	Tumor
uc001fgr.1	uc001fgy.1	Tumor
uc001fgu.1	uc001fhb.1	Tumor
uc001fgw.1	uc001fgr.1	Tumor
uc001fgw.1	uc001fgt.1	Tumor
uc001fgw.1	uc001fgu.1	Tumor
uc001fgw.1	uc001fgx.1	Tumor
uc001fgw.1	uc001fhb.1	Tumor
uc001fgw.1	uc010pev.1	Tumor
uc001fgz.1	uc001fgu.1	Tumor
uc001fhb.1	uc001fgu.1	Tumor
uc001fhd.2	uc001fhc.2	Tumor
uc001fhg.2	uc001fhf.2	Tumor
uc001fhg.2	uc010pew.1	Tumor
uc001fhg.2	uc010pex.1	Tumor
uc001fhh.2	uc001fhi.2	Tumor
uc001fhj.3	uc001fhk.3	Tumor
uc001fhj.3	uc001fhl.3	Tumor
uc001fhj.3	uc010pey.1	Tumor
uc001fhk.3	uc001fhj.3	Tumor
uc001fhs.1	uc001fhu.1	Tumor
uc001fhs.1	uc010pfa.1	Tumor
uc001fhu.1	uc010pfa.1	Tumor
uc001fhw.1	uc001fhv.3	Tumor
uc001fhy.2	uc001fia.2	Tumor
uc001fhy.2	uc009wpo.2	Tumor
uc001fhy.2	uc009wpr.2	Tumor
uc001fhy.2	uc009wqd.2	Tumor
uc001fhy.2	uc009wqf.2	Tumor
uc001fif.2	uc009wpr.2	Tumor
uc001fif.2	uc009wqd.2	Tumor
uc001fiw.1	uc001fiv.1	Tumor
uc001fix.2	uc001fiz.2	Tumor
uc001fix.2	uc009wqi.2	Tumor
uc001fjh.2	uc001fjk.2	Tumor
uc001fjh.2	uc010pfw.1	Tumor
uc001fjh.2	uc010pfy.1	Tumor
uc001fji.2	uc001fjj.2	Tumor
uc001fjm.2	uc001fjn.2	Tumor
uc001fjm.2	uc001fjo.2	Tumor
uc001fjm.2	uc001fjp.2	Tumor
uc001fjm.2	uc009wql.2	Tumor
uc001fjn.2	uc009wql.2	Tumor
uc001fjp.2	uc001fjn.2	Tumor
uc001fjp.2	uc009wql.2	Tumor
uc001fjs.2	uc001fjr.2	Tumor
uc001fjs.2	uc001fjt.2	Tumor
uc001fjs.2	uc001fju.2	Tumor
uc001fjw.2	uc001fjx.2	Tumor
uc001fjy.2	uc001fjw.2	Tumor
uc001fjy.2	uc001fjx.2	Tumor
uc001fjy.2	uc009wqm.2	Tumor
uc001fjz.1	uc010pfz.1	Tumor
uc001fka.3	uc001fkb.3	Tumor
uc001fkd.2	uc001fkf.2	Tumor
uc001fkf.2	uc001fkc.2	Tumor
uc001fkf.2	uc001fkd.2	Tumor
uc001fkh.1	uc001fki.2	Tumor
uc001fki.2	uc001fkh.1	Tumor
uc001fkj.2	uc001fkl.2	Tumor
uc001fkj.2	uc001fkn.2	Tumor
uc001fkj.2	uc001fkp.2	Tumor
uc001fkj.2	uc001fkr.2	Tumor
uc001fkj.2	uc001fks.2	Tumor
uc001fkj.2	uc009wqn.1	Tumor
uc001fkj.2	uc009wqp.1	Tumor
uc001fkj.2	uc010pgb.1	Tumor
uc001fkk.2	uc001fkj.2	Tumor
uc001fkk.2	uc001fko.2	Tumor
uc001fkl.2	uc001fkr.2	Tumor
uc001fkn.2	uc001fko.2	Tumor
uc001fkn.2	uc010pgb.1	Tumor
uc001fko.2	uc001fkn.2	Tumor
uc001fkp.2	uc001fkq.2	Tumor
uc001fkp.2	uc001fks.2	Tumor
uc001fks.2	uc001fkp.2	Tumor
uc001fkt.2	uc009wqq.2	Tumor
uc001fkv.2	uc010pge.1	Tumor
uc001fkw.2	uc001fla.2	Tumor
uc001fkx.2	uc001fla.2	Tumor
uc001flh.2	uc010pgi.1	Tumor
uc001fli.2	uc001flp.2	Tumor
uc001flj.2	uc010pgg.1	Tumor
uc001flp.2	uc001flg.2	Tumor
uc001flp.2	uc001fli.2	Tumor
uc001flp.2	uc001fll.2	Tumor
uc001flp.2	uc010pgh.1	Tumor
uc001flq.2	uc001flt.2	Tumor
uc001flq.2	uc001flu.2	Tumor
uc001flq.2	uc010pgl.1	Tumor
uc001flq.2	uc010pgm.1	Tumor
uc001flr.2	uc001flq.2	Tumor
uc001flr.2	uc001flu.2	Tumor
uc001flr.2	uc010pgl.1	Tumor
uc001flr.2	uc010pgm.1	Tumor
uc001fly.1	uc009wrh.1	Tumor
uc001flz.2	uc009wri.2	Tumor
uc001fmb.3	uc001flx.1	Tumor
uc001fmb.3	uc009wrg.1	Tumor
uc001fmb.3	uc009wrh.1	Tumor
uc001fmg.2	uc010pgq.1	Tumor
uc001fmh.1	uc010pgr.1	Tumor
uc001fmi.1	uc001fmj.1	Tumor
uc001fmi.1	uc009wrk.1	Tumor
uc001fml.1	uc009wrk.1	Tumor
uc001fms.2	uc001fmt.2	Tumor
uc001fms.2	uc001fmu.2	Tumor
uc001fmt.2	uc001fmq.2	Stroma
uc001fmt.2	uc001fmr.2	Tumor
uc001fmt.2	uc001fms.2	Tumor
uc001fmt.2	uc010pgt.1	Tumor
uc001fmu.2	uc001fms.2	Tumor
uc001fna.2	uc010pgx.1	Tumor
uc001fng.2	uc001fni.2	Tumor
uc001fng.2	uc010pgz.1	Tumor
uc001fnh.2	uc001fng.2	Tumor
uc001fni.2	uc001fng.2	Stroma
uc001fni.2	uc001fnk.2	Stroma
uc001fnl.2	uc001fnm.2	Tumor
uc001fnm.2	uc001fnl.2	Tumor
uc001fnm.2	uc001fnn.2	Tumor
uc001fnm.2	uc001fno.2	Tumor
uc001fnn.2	uc001fnl.2	Tumor
uc001fnp.2	uc010phd.1	Tumor
uc001fnp.2	uc010phe.1	Stroma
uc001fns.1	uc001fnt.2	Tumor
uc001fnt.2	uc001fns.1	Tumor
uc001fnu.1	uc001fnv.1	Tumor
uc001fnv.1	uc001fob.1	Tumor
uc001fnv.1	uc010phf.1	Tumor
uc001fnw.1	uc001fob.1	Tumor
uc001fnx.1	uc001fnu.1	Tumor
uc001fnx.1	uc010phf.1	Tumor
uc001fny.1	uc001fnu.1	Tumor
uc001fny.1	uc001fnv.1	Tumor
uc001foa.1	uc001fny.1	Tumor
uc001fob.1	uc001fnv.1	Tumor
uc001fob.1	uc010phf.1	Tumor
uc001foh.2	uc001fof.3	Tumor
uc001foh.2	uc001fog.1	Tumor
uc001foh.2	uc001foi.2	Tumor
uc001foh.2	uc001foj.2	Tumor
uc001foj.2	uc001foh.2	Tumor
uc001fol.1	uc001fon.1	Immune
uc001foo.2	uc001fop.3	Tumor
uc001foo.2	uc009wry.2	Tumor
uc001fop.3	uc001foo.2	Tumor
uc001fop.3	uc009wry.2	Tumor
uc001fpb.2	uc001fpd.2	Tumor
uc001fpc.2	uc001fpd.2	Tumor
uc001fpd.2	uc001fpb.2	Tumor
uc001fpd.2	uc001fpc.2	Tumor
uc001fpd.2	uc001fpe.1	Tumor
uc001fpd.2	uc009wsa.2	Tumor
uc001fpe.1	uc009wsa.2	Tumor
uc001fph.2	uc001fpj.2	Tumor
uc001fpl.2	uc001fpm.2	Tumor
uc001fpm.2	uc001fpl.2	Tumor
uc001fpn.1	uc010phq.1	Tumor
uc001fpp.2	uc001fpo.2	Tumor
uc001fps.1	uc001fpt.1	Tumor
uc001fpt.1	uc001fps.1	Tumor
uc001fpu.2	uc001fpv.2	Tumor
uc001fpv.2	uc001fpu.2	Tumor
uc001fpw.1	uc001fpx.1	Tumor
uc001fpx.1	uc001fpw.1	Tumor
uc001fpy.3	uc009wsg.2	Tumor
uc001fqa.2	uc001fqb.2	Tumor
uc001fqc.1	uc001fqd.2	Tumor
uc001fqc.1	uc001fqe.2	Tumor
uc001fqc.1	uc009wsh.2	Tumor
uc001fqc.1	uc010phs.1	Tumor
uc001fqd.2	uc001fqc.1	Immune&Stroma
uc001fqd.2	uc001fqe.2	Tumor
uc001fqd.2	uc010phs.1	Tumor
uc001fqe.2	uc001fqc.1	Tumor
uc001fqe.2	uc001fqd.2	Tumor
uc001fqf.1	uc001fqi.1	Tumor
uc001fqf.1	uc009wsi.1	Tumor
uc001fqf.1	uc009wsk.1	Tumor
uc001fqh.1	uc009wsi.1	Tumor
uc001fqi.1	uc001fqf.1	Tumor
uc001fqi.1	uc009wsi.1	Tumor
uc001fqi.1	uc009wsk.1	Tumor
uc001fqj.1	uc001fqk.1	Tumor
uc001fqn.2	uc001fqp.1	Tumor
uc001fqn.2	uc010phu.1	Tumor
uc001fqo.2	uc001fqn.2	Tumor
uc001fqo.2	uc001fqp.1	Tumor
uc001fqr.2	uc001fqt.2	Tumor
uc001fqw.2	uc010phy.1	Tumor
uc001fqy.3	uc009wso.2	Tumor
uc001fqz.3	uc009wsn.2	Tumor
uc001frb.2	uc009wsn.2	Tumor
uc001frg.2	uc001frf.2	Tumor
uc001frg.2	uc001fri.2	Tumor
uc001frj.2	uc001frf.2	Tumor
uc001frj.2	uc001fri.2	Tumor
uc001frn.3	uc009wsq.2	Tumor
uc001frn.3	uc010pib.1	Tumor
uc001fro.3	uc001frn.3	Tumor
uc001fro.3	uc009wsq.2	Tumor
uc001fro.3	uc010pib.1	Tumor
uc001frr.2	uc009wss.2	Tumor
uc001fru.2	uc001frv.2	Tumor
uc001frv.2	uc001fru.2	Tumor
uc001frw.2	uc001frx.2	Tumor
uc001frx.2	uc001frw.2	Tumor
uc001frx.2	uc010pic.1	Tumor
uc001fry.2	uc001fsd.2	Tumor
uc001frz.2	uc009wsw.2	Tumor
uc001fsa.2	uc001fry.2	Tumor
uc001fsa.2	uc009wsw.2	Tumor
uc001fsc.2	uc001frz.2	Tumor
uc001fsc.2	uc009wsw.2	Tumor
uc001fsd.2	uc001fry.2	Tumor
uc001fsf.2	uc001fse.2	Tumor
uc001fsf.2	uc010pid.1	Tumor
uc001fsf.2	uc010pig.1	Tumor
uc001fsg.2	uc001fsa.2	Tumor
uc001fsg.2	uc001fse.2	Tumor
uc001fsg.2	uc010pie.1	Tumor
uc001fsi.2	uc001fsf.2	Tumor
uc001fsi.2	uc009wsv.2	Tumor
uc001fsj.2	uc001fsk.2	Tumor
uc001fsk.2	uc001fry.2	Tumor
uc001fsk.2	uc001fsf.2	Tumor
uc001fsk.2	uc001fsj.2	Tumor
uc001fta.3	uc001fte.2	Tumor
uc001ftb.2	uc001fta.3	Tumor
uc001ftc.2	uc001ftb.2	Tumor
uc001ftc.2	uc001fte.2	Tumor
uc001ftg.2	uc001fth.2	Stroma
uc001ftg.2	uc010pit.1	Tumor
uc001ftl.2	uc001ftk.2	Tumor
uc001fto.2	uc001ftp.3	Tumor
uc001ftp.3	uc001fto.2	Tumor
uc001ftw.2	uc001ftx.1	Tumor
uc001ftw.2	uc001fty.1	Tumor
uc001fty.1	uc001ftx.1	Tumor
uc001fub.1	uc001ftz.1	Tumor
uc001fuc.2	uc009wsz.1	Tumor
uc001fud.3	uc009wta.2	Tumor
uc001fud.3	uc010pix.1	Tumor
uc001fuf.1	uc001fug.1	Tumor
uc001fug.1	uc001fuf.1	Tumor
uc001fui.2	uc001fuj.2	Tumor
uc001fui.2	uc001fuk.2	Tumor
uc001fui.2	uc001ful.2	Tumor
uc001fui.2	uc009wtc.1	Tumor
uc001fuj.2	uc001fui.2	Tumor
uc001fuj.2	uc001fuk.2	Tumor
uc001ful.2	uc001fui.2	Tumor
uc001ful.2	uc001fuj.2	Tumor
uc001fun.1	uc001fum.1	Tumor
uc001fuq.2	uc001fur.2	Tumor
uc001fur.2	uc001fup.2	Tumor
uc001fur.2	uc001fuq.2	Tumor
