GeneId	Symbol	Normal_transcript	Tumor_transcript	MS	M	S	N	p.o	OR	eOR
728404	AGAP8	uc009xom.2	uc001jij.2	0	1	1	92	1	0	20.5555555555556
728609	SDHAP3	uc011cmd.1	uc011cme.1	0	7	2	132	1	0	3.53333333333333
728855	LOC728855	uc001ekt.3	uc001ekr.3	2	93	0	0	1	0	0.0267379679144385
728932	GPR89C	uc001eou.3	uc009wjm.2	1	119	1	19	0.980472764645427	0.163127301463443	0.163179916317992
729238	SFTPA2	uc001kal.3	uc001kan.3	0	1	1	93	1	0	20.7777777777778
7292	TNFSF4	uc001giv.2	uc001giw.2	0	1	1	93	1	0	20.7777777777778
729678	LOC729678	uc003mml.3	uc010jlj.2	0	1	1	93	1	0	20.7777777777778
729873	TBC1D3	uc010wdn.1	uc010cvk.2	1	11	0	83	0.126315789473684	Inf	21.7826086956522
730051	ZNF814	uc002qqo.2	uc010yhl.1	0	9	1	85	1	0	3
731220	RFX8	uc002tbb.1	uc010yvx.1	0	14	1	80	1	0	1.85057471264368
7316	UBC	uc001ugs.3	uc001ugr.2	0	1	1	93	1	0	20.7777777777778
7323	UBE2D3	uc003hwh.2	uc003hwi.2	0	6	1	87	1	0	4.48717948717949
7323	UBE2D3	uc003hwh.2	uc011ceu.1	1	24	5	151	0.595629992600417	1.25660837621241	1.68645640074212
7342	UBP1	uc010hga.2	uc003cfr.3	0	10	2	83	1	0	1.59047619047619
7348	UPK1B	uc011bix.1	uc003ecc.2	0	4	1	90	1	0	6.7037037037037
7352	UCP3	uc001our.2	uc001ous.2	0	2	3	136	1	0	7.8
7358	UGDH	uc003guk.1	uc011byp.1	1	8	2	130	0.180730795302968	7.85382617043313	9.21176470588235
7363	UGT2B4	uc011cap.1	uc003hel.3	0	10	1	84	1	0	2.68253968253968
7384	UQCRC1	uc003cub.1	uc003cua.1	0	3	2	136	1	0	7.8
738	C11orf2	uc001ocr.1	uc001ocs.1	0	6	6	157	1	0	1.86390532544379
7392	USF2	uc002nyu.1	uc002nys.1	0	4	3	133	1	0	4.23809523809524
7405	UVRAG	uc010rrw.1	uc010rry.1	0	34	1	60	1	0	0.584541062801932
7409	VAV1	uc002mfu.1	uc002mfv.1	2	51	2	155	0.264745361427284	3.01975606783663	3.01941747572816
7423	VEGFB	uc001nyx.2	uc001nyw.2	0	1	7	87	1	0	3.88888888888889
7456	WIPF1	uc002uiz.2	uc002uiy.2	0	20	1	74	1	0	1.21138211382114
7464	CORO2A	uc004aym.2	uc004ayk.2	2	24	4	152	0.204973428432637	3.13848456810216	3.45804988662132
7465	WEE1	uc001mht.2	uc001mhs.2	0	3	1	91	1	0	8.71428571428571
7469	WHSC2	uc003gem.2	uc003gek.2	0	11	2	127	1	0	2.21739130434783
7480	WNT10B	uc001rst.2	uc001rss.2	0	4	4	130	1	0	3.22222222222222
7485	WRB	uc002yxs.2	uc002yxt.3	0	11	6	169	1	0	1.13377926421405
7511	XPNPEP1	uc001kyp.1	uc001kyq.1	0	8	1	86	1	0	3.3921568627451
7515	XRCC1	uc002owt.2	uc010xwp.1	0	5	1	89	1	0	5.42424242424242
752	FMNL1	uc010dag.2	uc002iiq.2	0	3	1	91	1	0	8.71428571428571
7555	CNBP	uc003elq.3	uc003elr.3	0	2	4	89	1	0	3.97777777777778
7562	ZNF708	uc002npr.1	uc002npq.1	0	10	1	84	1	0	2.68253968253968
7565	ZNF17	uc002qoo.1	uc002qop.1	0	4	2	134	1	0	5.97777777777778
7568	ZNF20	uc002mtf.1	uc002mte.1	0	13	5	167	1	0	1.12794612794613
757	TMEM50B	uc002yrt.1	uc002yrs.1	0	6	1	88	1	0	4.53846153846154
7581	ZNF33A	uc001izg.2	uc010qev.1	0	4	1	90	1	0	6.7037037037037
7634	ZNF80	uc003ebf.2	uc010hqo.2	0	1	1	93	1	0	20.7777777777778
7638	ZNF221	uc002oxx.2	uc010ejb.1	0	3	1	91	1	0	8.71428571428571
765	CA6	uc001apm.2	uc009vmn.2	0	8	1	86	1	0	3.3921568627451
767	CA8	uc003xtz.1	uc003xua.1	0	14	1	80	1	0	1.85057471264368
7702	ZNF143	uc009yfu.2	uc001mhr.2	0	7	1	87	1	0	3.88888888888889
7709	ZBTB17	uc001axl.3	uc010obq.1	0	6	2	87	1	0	2.69230769230769
7726	TRIM26	uc003npt.2	uc003npr.2	1	13	2	124	0.272755708476697	4.67844795858638	5.53333333333333
7748	ZNF195	uc001lxs.2	uc001lxv.2	0	9	2	128	1	0	2.70526315789474
7748	ZNF195	uc001lxs.2	uc010qxr.1	0	4	1	89	1	0	6.62962962962963
7762	ZNF215	uc001mey.2	uc010rax.1	0	7	1	87	1	0	3.88888888888889
7771	ZFP112	uc002ozc.3	uc010ejj.2	0	39	2	99	1	0	0.50379746835443
7776	ZNF236	uc002lmi.2	uc002lmj.2	1	28	1	93	0.417433026789284	3.28113346478586	3.28070175438596
7840	ALMS1	uc002sjh.1	uc002sjf.1	0	36	1	58	1	0	0.534246575342466
7850	IL1R2	uc002tbm.2	uc002tbn.2	0	9	1	84	1	0	2.96491228070175
