#Freq	Total Weight	Target Weight	Gene set 1 (k=4)	Phi 1	Weight function 1
5	12.9356233687	414830	ENSP00000288602, ENSP00000358548, ENSP00000364101-uc004duh.1-uc004dui.3, ENSP00000408342-uc002mkd.2-uc002mkc.2	2.41062774636e-06	E
4	12.8837761768	393870	ENSP00000251296-uc001bau.1-uc001bav.1, ENSP00000288602, ENSP00000358548, ENSP00000361186-uc002xsk.2-uc002xsj.2	2.5389087967e-06	E
3	12.5113963704	271413	ENSP00000264638-uc002iay.2-uc010wgs.1, ENSP00000288602, ENSP00000358548, ENSP00000452296-uc001vwc.3-uc001vwb.3	3.68442393911e-06	E
2	12.5113963704	271413	ENSP00000264638-uc002iay.2-uc010wgs.1, ENSP00000288602, ENSP00000311925-uc010wlv.1-uc002ios.2, ENSP00000358548	3.68442393911e-06	E
1	12.3611002855	233538	ENSP00000288602, ENSP00000358548, ENSP00000361186-uc002xsk.2-uc002xsj.2, ENSP00000387261-uc002lbp.3-uc002lbq.3	4.2819575326e-06	E
2	12.135639383	186398	ENSP00000264638-uc002iay.2-uc010wgs.1, ENSP00000288602, ENSP00000358548, ENSP00000364101-uc004duh.1-uc004dui.3	5.36486479791e-06	E
5	12.0327312578	168170	ENSP00000288602, ENSP00000358548, ENSP00000387261-uc002lbp.3-uc002lbq.3, ENSP00000448536-uc001tlh.3-uc001tli.3	5.9463601933e-06	E
2	11.7822717532	130911	ENSP00000288602, ENSP00000376282-uc002jro.2-uc010wte.1, ENSP00000408342-uc002mkd.2-uc002mkc.2, ENSP00000411124-uc001yhq.2-uc001yhp.2	7.63878687626e-06	E
2	11.6906468236	119449	ENSP00000243108-uc001sev.2-uc001ses.2, ENSP00000288602, ENSP00000387261-uc002lbp.3-uc002lbq.3, ENSP00000408342-uc002mkd.2-uc002mkc.2	8.37175662771e-06	E
2	11.6014420065	109255	ENSP00000264638-uc002iay.2-uc010wgs.1, ENSP00000288602, ENSP00000358548, ENSP00000408342-uc002mkd.2-uc002mkc.2	9.15287970332e-06	E
1	11.5654211036	105390	ENSP00000264638-uc002iay.2-uc010wgs.1, ENSP00000288602, ENSP00000358548, ENSP00000466508-uc002hhf.1-uc010csx.1	9.48858459388e-06	E
1	11.5246233894	101177	ENSP00000288602, ENSP00000358548, ENSP00000408342-uc002mkd.2-uc002mkc.2, ENSP00000448536-uc001tlh.3-uc001tli.3	9.8837023032e-06	E
2	11.4763608307	96409.6	ENSP00000288602, ENSP00000361186-uc002xsk.2-uc002xsj.2, ENSP00000376282-uc002jro.2-uc010wte.1, ENSP00000408342-uc002mkd.2-uc002mkc.2	1.03724134318e-05	E
1	11.3400359171	84123.1	ENSP00000288602, ENSP00000358548, ENSP00000370566-uc011mhg.1-uc004cqp.2, ENSP00000448536-uc001tlh.3-uc001tli.3	1.18873479958e-05	E
2	11.2967811977	80561.9	ENSP00000288602, ENSP00000358548, ENSP00000376282-uc002jro.2-uc010wte.1, ENSP00000452296-uc001vwc.3-uc001vwb.3	1.24128144241e-05	E
2	11.1941606581	72704.7	ENSP00000264638-uc002iay.2-uc010wgs.1, ENSP00000288602, ENSP00000358548, ENSP00000448536-uc001tlh.3-uc001tli.3	1.37542779574e-05	E
2	11.0954652576	65871.8	ENSP00000279804-uc002dzw.2-uc002dzx.2, ENSP00000288602, ENSP00000358548, ENSP00000376282-uc002jro.2-uc010wte.1	1.51810099348e-05	E
1	11.0138765115	60710.8	ENSP00000243108-uc001sev.2-uc001ses.2, ENSP00000288602, ENSP00000358548, ENSP00000361186-uc002xsk.2-uc002xsj.2	1.64715400549e-05	E
1	10.9741002267	58343.3	ENSP00000251296-uc001bau.1-uc001bav.1, ENSP00000288602, ENSP00000358548, ENSP00000452296-uc001vwc.3-uc001vwb.3	1.71399214665e-05	E
1	10.9346262706	56085.1	ENSP00000288602, ENSP00000369252-uc003hzx.3-uc003hzw.3, ENSP00000376282-uc002jro.2-uc010wte.1, ENSP00000408342-uc002mkd.2-uc002mkc.2	1.78300330825e-05	E
1	10.8854192974	53392.2	ENSP00000288602, ENSP00000369252-uc003hzx.3-uc003hzw.3, ENSP00000408342-uc002mkd.2-uc002mkc.2, ENSP00000448536-uc001tlh.3-uc001tli.3	1.8729339669e-05	E
2	10.8713663611	52647.1	ENSP00000288602, ENSP00000369252-uc003hzx.3-uc003hzw.3, ENSP00000387261-uc002lbp.3-uc002lbq.3, ENSP00000408342-uc002mkd.2-uc002mkc.2	1.89943999613e-05	E
1	10.8322059996	50625.3	ENSP00000288602, ENSP00000358548, ENSP00000381008, ENSP00000408342-uc002mkd.2-uc002mkc.2	1.97529837986e-05	E
1	10.5208758581	37081.6	ENSP00000243108-uc001sev.2-uc001ses.2, ENSP00000288602, ENSP00000358548, ENSP00000466508-uc002hhf.1-uc010csx.1	2.69675610162e-05	E
1	10.4479673892	34474.2	ENSP00000288602, ENSP00000358548, ENSP00000361186-uc002xsk.2-uc002xsj.2, ENSP00000448536-uc001tlh.3-uc001tli.3	2.90071737129e-05	E
1	10.2872234605	29355.2	ENSP00000279804-uc002dzw.2-uc002dzx.2, ENSP00000288602, ENSP00000358548, ENSP00000408342-uc002mkd.2-uc002mkc.2	3.40655666167e-05	E
1	10.1412871393	25369.1	ENSP00000288602, ENSP00000311925-uc010wlv.1-uc002ios.2, ENSP00000376282-uc002jro.2-uc010wte.1, ENSP00000408342-uc002mkd.2-uc002mkc.2	3.94180336598e-05	E
1	10.0559639205	23294.3	ENSP00000288602, ENSP00000358548, ENSP00000387261-uc002lbp.3-uc002lbq.3, ENSP00000452296-uc001vwc.3-uc001vwb.3	4.29289591848e-05	E
1	9.99773343667	21976.6	ENSP00000288602, ENSP00000358548, ENSP00000369252-uc003hzx.3-uc003hzw.3, ENSP00000448536-uc001tlh.3-uc001tli.3	4.55029482833e-05	E
1	9.75165713336	17182.7	ENSP00000288602, ENSP00000358548, ENSP00000369252-uc003hzx.3-uc003hzw.3, ENSP00000387261-uc002lbp.3-uc002lbq.3	5.81981416959e-05	E
1	9.68360698805	16052.3	ENSP00000288602, ENSP00000311925-uc010wlv.1-uc002ios.2, ENSP00000387261-uc002lbp.3-uc002lbq.3, ENSP00000408342-uc002mkd.2-uc002mkc.2	6.22963956832e-05	E
1	9.62692754711	15167.8	ENSP00000288602, ENSP00000358548, ENSP00000364101-uc004duh.1-uc004dui.3, ENSP00000376282-uc002jro.2-uc010wte.1	6.5929303633e-05	E
1	9.18284863363	9728.83	ENSP00000243108-uc001sev.2-uc001ses.2, ENSP00000288602, ENSP00000369252-uc003hzx.3-uc003hzw.3, ENSP00000408342-uc002mkd.2-uc002mkc.2	0.000102787312314	E
1	8.86103508942	7051.78	ENSP00000279804-uc002dzw.2-uc002dzx.2, ENSP00000288602, ENSP00000311925-uc010wlv.1-uc002ios.2, ENSP00000358548	0.000141808203997	E
1	8.57013412495	5271.84	ENSP00000243108-uc001sev.2-uc001ses.2, ENSP00000288602, ENSP00000358548, ENSP00000369252-uc003hzx.3-uc003hzw.3	0.000189687206319	E
1	8.21434413923	3693.55	ENSP00000288602, ENSP00000364101-uc004duh.1-uc004dui.3, ENSP00000376282-uc002jro.2-uc010wte.1, ENSP00000408342-uc002mkd.2-uc002mkc.2	0.000270742021888	E
1	8.20509459524	3659.55	ENSP00000288602, ENSP00000358548, ENSP00000429114-uc003mlp.3-uc003mlr.2, ENSP00000448536-uc001tlh.3-uc001tli.3	0.000273257879459	E
1	7.72976383949	2275.06	ENSP00000251296-uc001bau.1-uc001bav.1, ENSP00000264638-uc002iay.2-uc010wgs.1, ENSP00000288602, ENSP00000369252-uc003hzx.3-uc003hzw.3	0.000439547908704	E
