Tumor	GeneId	Symbol	Normal_transcript	Tumor_transcript	Recurrence	Affects_mutated_feature	PPI	Pannegative
brca	26508	HEYL	uc001cdp.2	uc010oiw.1	1	0	0	0
brca	1495	CTNNA1	uc003ldh.2	uc003ldl.2	1	0	0	0
brca	339287	MSL1	uc002huc.2	uc002hub.2	0	1	1	1
brca	9670	IPO13	uc001ckx.2	uc001cky.2	1	0	1	0
brca	84866	TMEM25	uc010rye.1	uc001pti.2	1	1	0	0
brca	11226	GALNT6	uc001ryk.2	uc001ryj.1	1	1	0	0
brca	83666	PARP9	uc003eff.3	uc003efg.2	1	0	0	0
brca	10318	TNIP1	uc003ltj.2	uc011dcn.1	1	0	0	0
brca	6510	SLC1A5	uc002pfs.2	uc002pfr.2	0	0	0	0
brca	920	CD4	uc001qqv.1	uc010sfk.1	1	1	1	0
brca	3032	HADHB	uc002rgz.2	uc010ykx.1	1	0	0	0
brca	10066	SCAMP2	uc002azb.1	uc002aza.1	1	0	0	0
brca	3326	HSP90AB1	uc003oxa.1	uc003oxc.1	1	1	1	0
brca	84886	C1orf198	uc009xfh.1	uc001hub.2	0	0	0	1
brca	5887	RAD23B	uc011lwb.1	uc004bde.2	1	0	0	1
brca	51495	PTPLAD1	uc002apc.2	uc010uiw.1	1	0	0	0
brca	200916	RPL22L1	uc003fhc.3	uc003fhb.3	1	0	0	0
brca	205564	SENP5	uc003fwz.3	uc011bty.1	1	0	0	0
brca	84629	TNRC18	uc003soi.3	uc003soj.2	1	0	0	0
brca	5251	PHEX	uc004dah.2	uc011mjs.1	0	0	0	0
brca	57210	SLC45A4	uc003ywc.1	uc010meq.1	0	0	0	0
brca	285343	C3orf23	uc010him.2	uc003cnb.3	0	0	0	1
brca	374875	HSD11B1L	uc002mcj.2	uc002mcr.2	0	0	0	0
brca	2585	GALK2	uc001zxi.1	uc001zxj.1	0	0	0	1
brca	25926	NOL11	uc002jgd.1	uc010deu.1	1	0	0	0
brca	5055	SERPINB2	uc002ljo.2	uc010dqh.2	0	0	0	0
brca	55793	FAM63A	uc001ewg.2	uc001ewc.2	1	0	0	0
brca	51133	KCTD3	uc001hks.2	uc009xdn.2	1	0	0	0
brca	5908	RAP1B	uc001suc.2	uc010sti.1	1	1	0	0
brca	6385	SDC4	uc002xnu.2	uc010zws.1	1	0	0	0
brca	6734	SRPR	uc001qdh.2	uc010sbm.1	1	0	0	0
brca	2649	NR6A1	uc004bor.1	uc004boq.1	0	0	0	0
brca	146754	DNAH2	uc010cnm.1	uc002giu.1	0	0	0	0
brca	8879	SGPL1	uc001jrm.2	uc009xqk.2	1	0	0	0
brca	124976	SPNS2	uc002fxx.2	uc002fxy.2	0	0	0	0
brca	8662	EIF3B	uc003slx.2	uc003smb.2	0	0	1	0
brca	26156	RSL1D1	uc010buw.2	uc002dbp.1	0	1	1	0
brca	7266	DNAJC7	uc010wgb.1	uc002hyo.2	0	0	0	0
brca	6795	AURKC	uc002qoc.2	uc010etv.2	0	0	0	0
brca	6548	SLC9A1	uc001bnm.2	uc001bnl.2	1	0	0	0
brca	55361	PI4K2A	uc001kog.1	uc009xvw.1	1	0	0	0
brca	2022	ENG	uc004bsj.3	uc011mam.1	1	0	0	0
brca	51585	PCF11	uc001ozx.3	uc001ozy.2	1	0	0	0
brca	7171	TPM4	uc002ndi.2	uc002ndj.2	0	0	0	3
brca	11221	DUSP10	uc001hmy.1	uc001hmz.1	0	0	0	0
brca	79631	EFTUD1	uc002bgt.1	uc002bgs.1	0	0	0	0
brca	9260	PDLIM7	uc003mhc.1	uc003mhb.1	0	0	0	0
brca	23654	PLXNB2	uc003bkv.3	uc003bkt.1	1	1	0	0
brca	56606	SLC2A9	uc003gmc.2	uc003gmd.2	0	0	0	1
brca	9249	DHRS3	uc001auc.2	uc001aub.2	1	0	0	0
brca	9791	PTDSS1	uc003yht.1	uc003yhu.1	1	0	0	0
brca	116843	C6orf192	uc003qdw.1	uc010kgd.1	1	0	0	0
brca	122616	C14orf79	uc001ypy.1	uc001ypz.1	0	0	0	0
brca	23129	PLXND1	uc011blb.1	uc003emw.2	0	0	0	0
brca	2823	GPM6A	uc003iuh.2	uc003iug.2	0	0	0	0
brca	64064	OXCT2	uc001ceb.1	uc009vvu.1	1	0	0	0
brca	56975	FAM20C	uc003sip.2	uc011jvn.1	1	0	0	0
brca	28976	ACAD9	uc003ela.3	uc003ele.2	1	0	0	0
brca	1781	DYNC1I2	uc002uhf.1	uc002uhd.1	0	0	1	3
brca	266727	MDGA1	uc003onu.1	uc003onv.1	1	1	0	0
brca	55051	C14orf102	uc001xyi.1	uc010atp.1	1	1	0	0
brca	5528	PPP2R5D	uc003oth.2	uc010jyd.2	1	0	0	0
brca	63826	SRR	uc002fue.1	uc002fui.1	1	0	0	0
brca	5000	ORC4L	uc010zbr.1	uc002twl.1	0	0	1	0
brca	1641	DCX	uc004epg.2	uc004epf.2	0	0	0	0
brca	1119	CHKA	uc001onj.2	uc001onk.2	0	0	0	0
brca	399948	C11orf92	uc001pld.2	uc001ple.2	0	0	0	0
brca	587	BCAT2	uc002pkr.2	uc002pkt.2	1	0	0	0
brca	57541	ZNF398	uc011kum.1	uc003wfl.2	0	0	0	0
brca	2547	XRCC6	uc003bao.1	uc003bas.1	1	0	0	0
brca	129401	NUP35	uc002upf.2	uc010zfs.1	1	0	0	0
brca	80301	PLEKHO2	uc002anv.2	uc010bgz.2	1	0	0	0
brca	63967	CLSPN	uc001bzi.2	uc009vux.2	0	0	0	1
brca	92667	C20orf72	uc002wqh.2	uc010gcp.2	1	0	0	0
brca	9488	PIGB	uc002act.2	uc010ugg.1	1	0	0	0
brca	7551	ZNF3	uc003usr.2	uc010lgj.2	1	0	0	0
brca	9682	KDM4A	uc001cjx.2	uc010oki.1	0	0	0	0
brca	5768	QSOX1	uc001gnz.2	uc001goc.2	1	0	1	0
brca	129138	ANKRD54	uc003auc.2	uc003aud.2	1	0	0	0
brca	55250	ELP2	uc002kzk.1	uc002kzo.1	1	0	0	0
brca	6900	CNTN2	uc001hbs.2	uc001hbr.2	0	1	0	0
brca	1718	DHCR24	uc001cyc.1	uc010ooi.1	1	0	0	0
brca	11179	ZNF277	uc003vge.2	uc003vgf.2	0	0	0	0
brca	138311	FAM69B	uc004cik.2	uc004cil.2	0	0	0	0
