12652	brca	NonRandom
14334	brca	Random
1	Cancer	Random
12596	coad	NonRandom
12892	coad	Random
24015	hnsc	NonRandom
24576	hnsc	Random
22837	kich	NonRandom
22009	kich	Random
22169	kirc	NonRandom
21645	kirc	Random
33355	kirp	NonRandom
35600	kirp	Random
4776	lihc	NonRandom
5867	lihc	Random
14209	luad	NonRandom
16261	luad	Random
17162	lusc	NonRandom
18996	lusc	Random
13002	prad	NonRandom
15148	prad	Random
6314	thca	NonRandom
8527	thca	Random
